主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国内出游人次,1.19,亿人次,文化和旅游部,2025年端午假期文化和旅游市场情况,2025-06-03,A,https://www.mct.gov.cn/whzx/whyw/202506/t20250603_960368.htm,同比+5.7%,3,官方总量,同比,3天,增长率,2025-06-04,
总体,国内出游总花费,427.30,亿元,文化和旅游部,2025年端午假期文化和旅游市场情况,2025-06-03,A,https://www.mct.gov.cn/whzx/whyw/202506/t20250603_960368.htm,同比+5.9%,3,官方总量,同比,3天,增长率,2025-06-04,
交通,跨区域人员流动量,6.537,亿人次,交通运输部,端午交通数据,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,同比+2.5%（65370万人次）,3,官方跨区域(含自驾),同比,3天,增长率,2025-06-04,
交通,铁路客运量,4803,万人次,国家铁路集团,端午铁路数据,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,,3,官方跨区域(含自驾),无(水平值),3天,水平值,2025-06-04,
交通,民航客运量,563,万人次,民航局,端午民航数据,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,,3,官方跨区域(含自驾),无(水平值),3天,水平值,2025-06-04,
游客画像,银联/网联支付交易笔数,140.5,亿笔,中国人民银行,端午支付数据,2025-06-03,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202506/content_7026351.htm,同比+13%,3,官方总量,同比,3天,增长率,2025-06-04,
游客画像,银联/网联支付交易金额,4.8,万亿元,中国人民银行,端午支付数据,2025-06-03,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202506/content_7026351.htm,同比+3.4%,3,官方总量,同比,3天,增长率,2025-06-04,
游客画像,出入境人员,590.7,万人次,国家移民管理局,端午出入境数据,2025-06-03,A,https://www.nia.gov.cn/n741440/n741567/c1721275/content.html,同比+2.7%,3,待核,同比,3天,增长率,2025-06-04,
游客画像,免签入境外国人,23.1,万人次,国家移民管理局,端午出入境数据,2025-06-03,A,https://www.nia.gov.cn/n741440/n741567/c1721275/content.html,同比+59.4%,3,待核,同比,3天,增长率,2025-06-04,
平台,携程亲子订单占比,25,%,携程,2025端午旅行数据,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,亲子订单占整体,3,平台自披露,无(水平值),3天,水平值,2025-06-04,
平台,飞猪主题乐园订单同比,+100,%,飞猪,2025端午旅行数据,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,,3,平台自披露,同比,3天,水平值,2025-06-04,
平台,美团亲子酒店搜索同比,+500,%,美团,2025端午旅行数据,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,,3,平台自披露,同比,3天,水平值,2025-06-04,
目的地,北京口岸出入境人员,17.8,万人次,北京边检（央视网转引）,端午数据,2025-06-04,B,https://news.cctv.com/2025/06/04/ARTIeAw2fLw0dOAvYi3mysFF250604.shtml,同比+14.8%,3,官方总量,同比,3天,增长率,2025-06-04,
热门新消费,亲子/主题乐园消费（平台印证）,+100,%,飞猪/美团/携程（红网转引）,2025端午旅行数据,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,主题乐园订单翻倍、亲子酒店搜索+500%，亲子研学成端午新消费热点,3,平台自披露,无(水平值),3天,增长率,2025-06-04,
