主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国内出游人次,1.24,亿人次,文化和旅游部,2026年端午节假期文化和旅游市场情况,2026-06-22,A,https://mct.gov.cn/whzx/whyw/202606/t20260622_966305.htm,同比+4.4%,3,官方总量,同比,3天,增长率,2026-06-24,
总体,国内出游总花费,444.56,亿元,文化和旅游部,2026年端午节假期文化和旅游市场情况,2026-06-22,A,https://mct.gov.cn/whzx/whyw/202606/t20260622_966305.htm,同比+4.0%,3,官方总量,同比,3天,增长率,2026-06-24,
景区,国家级夜间文旅消费集聚区夜间客流,3858.95,万人次,文化和旅游部,2026年端午节假期文化和旅游市场情况,2026-06-22,A,https://mct.gov.cn/whzx/whyw/202606/t20260622_966305.htm,同比+2.43%,3,官方总量,同比,3天,增长率,2026-06-24,
景区,广州接待市民游客,662.8,万人次,广州市文旅部门（中国网转引）,2026端午广州文旅数据,2026-06-22,B,https://big5.china.com.cn/gate/big5/news.china.com.cn/2026-06/22/content_118560648.html,同比+5.2%，文旅消费超47亿元+6.1%,3,官方总量,同比,3天,增长率,2026-06-24,
游客画像,学生出游预订人次同比,70,%,飞猪（新浪/多家媒体转引）,2026端午出游快报,2026-06-21,C,https://cj.sina.com.cn/articles/view/7880069205/1d5b05055019026fj6,预订量同比+97%,3,平台自披露,同比,3天,增长率,2026-06-24,
游客画像,亲子家庭占出游订单比重,超50,%,飞猪,2026端午出游快报,2026-06-21,C,https://cj.sina.com.cn/articles/view/7880069205/1d5b05055019026fj6,直接带动玩乐组合产品+83%,3,平台自披露,无(水平值),3天,水平值,2026-06-24,
目的地,国内热门目的地TOP10,上海/北京/成都/青岛/南京/杭州/长沙/西安/武汉/广州,,携程/飞猪/去哪儿,2026端午出游榜单,2026-06-22,C,https://tidenews.com.cn/news.html?id=3478901,头部城市高度重叠,3,平台自披露,无(水平值),3天,水平值,2026-06-24,
目的地,避暑小城预订量同比,40,%,去哪儿（新浪转引）,2026端午避暑游数据,2026-06-21,C,https://cj.sina.com.cn/articles/view/7880069205/1d5b05055019026fj6,吉林白山+2.9倍、内蒙古兴安盟+74%、贵州黔西南+83%,3,平台自披露,同比,3天,增长率,2026-06-24,
目的地,广东佛山叠滘龙舟带动民宿订单同比,108,%,去哪儿/美团（搜狐转引）,2026端午民俗游数据,2026-06-21,C,https://www.sohu.com/a/1039452106_121627717,龙舟漂移大赛,3,平台自披露,同比,3天,水平值,2026-06-24,
目的地,湖南汨罗龙舟联赛带动酒店入住量增幅,43,%,去哪儿（中国网转引）,2026端午赛事游数据,2026-06-22,B,https://big5.china.com.cn/gate/big5/news.china.com.cn/2026-06/22/content_118560648.html,屈原故里湖南汨罗,3,平台自披露,无(水平值),3天,水平值,2026-06-24,
酒店,受访住宿企业入住率同比,2,%,中国饭店协会,2026端午住宿餐饮专项调研,2026-06,C,无公开URL（中国饭店协会专项调研发布）,平均房价同比-8.5%,3,待核,同比,3天,增长率,2026-06-24,
酒店,受访餐饮企业客流量同比,1.6,%,中国饭店协会,2026端午住宿餐饮专项调研,2026-06,C,无公开URL（中国饭店协会专项调研发布）,客单价同比-4.4%,3,待核,同比,3天,增长率,2026-06-24,
