检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2023 暑期 旅游人数,2026-08-28-R1,暑期国内旅游出游人次 = 18.39亿人次,中国旅游研究院,2023年暑期旅游市场监测报告,2023,https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202309/t20230904_947007.html,中国旅游研究院《2023年暑期旅游市场监测报告》：暑期(6-8月)国内旅游人数达18.39亿人次,snapshots/中国旅游研究院_暑期国内旅游出游人次.html,L1,入库L1,R1,否
2023 暑期 旅游收入,2026-08-28-R1,暑期国内旅游收入 = 1.21万亿元,中国旅游研究院,2023年暑期旅游市场监测报告,2023,https://www.gov.cn/yaowen/liebiao/202309/content_6902336.htm,中国旅游研究院：暑期实现国内旅游收入1.21万亿元,snapshots/中国旅游研究院_暑期国内旅游收入.html,L1,入库L1,R1,否
2023 暑期 预测,2026-08-28-R1,暑期国内旅游人数(预测) = 18.54亿人次,中国旅游研究院,中国旅游研究院暑期旅游预测,2023,http://www.ce.cn/macro/more/202308/08/t20230808_38663499.shtml,中国旅游研究院预测：暑期6-8月国内旅游人数将达18.54亿人次，收入1.2万亿元,snapshots/中国旅游研究院_暑期国内旅游人数(预测).html,L1,入库L1,R1,否
2023 暑运 铁路,2026-08-28-R1,铁路暑运累计发送旅客 = 8.3亿人次,国铁集团,国铁集团2023年暑期数据,2023,https://www.gov.cn/lianbo/bumen/202309/content_6902563.htm,国铁集团：7月1日至8月31日全国铁路累计发送旅客8.3亿人次，创暑运历史新高,snapshots/国铁集团_铁路暑运累计发送旅客.html,L1,入库L1,R1,否
2023 暑运 铁路 预计,2026-08-28-R1,铁路暑运预计发送旅客 = 7.6亿人次,国铁集团,国铁集团2023年暑期数据,2023,https://www.gov.cn/yaowen/liebiao/202307/content_6889485.htm,国铁集团：暑期预计发送旅客7.6亿人次，日均1200万以上，较2019年有较大幅度增长,snapshots/国铁集团_铁路暑运预计发送旅客.html,L1,入库L1,R1,否
2023 暑运 民航,2026-08-28-R1,民航暑运运输旅客 = 1.3亿人次,中国民用航空局,中国民用航空局2023年暑期数据,2023,https://www.gov.cn/lianbo/bumen/202309/content_6902160.htm,民航局：2023年暑运期间民航运输旅客1.3亿人次，较2019年同期+7.4%,snapshots/中国民用航空局_民航暑运运输旅客.html,L1,入库L1,R1,否
2023 暑运 民航 测算,2026-08-28-R1,民航暑运运输旅客(航班管家测算) = 1.26亿人次,航班管家,2023年暑运民航数据总结,2023,https://www.iesdouyin.com/share/video/7274110259810078004,航班管家《2023年暑运民航数据总结》：暑运全民航运输旅客约1.26亿人次，比2019年+11%,snapshots/航班管家_民航暑运运输旅客(航班管家测算).html,L1,入库L1,R1,否
2023 暑运 广铁,2026-08-28-R1,广铁集团暑运发送旅客 = 11973万人次,广铁集团,广铁集团2023年暑期数据,2023,https://static.nfapp.southcn.com/content/202309/01/c8056882.html?enterColumnId=22511,广铁集团暑运发送旅客11973万人次，同比+68.4%，较2019年+11.8%，刷新纪录,snapshots/广铁集团_广铁集团暑运发送旅客.html,L1,入库L1,R1,否
2023 暑期 出入境,2026-08-28-R1,暑期出入境人员 = 8241.3万人次,国家移民管理局,国家移民管理局2023年暑期数据,2023,https://www.nia.gov.cn/n794014/n1050181/n1050498/c1596092/content.html,国家移民管理局：暑期边检查验出入境人员8241.3万人次，日均139.7万人次，环比+19.88%,snapshots/国家移民管理局_暑期出入境人员.html,L1,入库L1,R1,否
2023 暑期档 票房,2026-08-28-R1,暑期档电影票房 = 206.19亿元,国家电影局,国家电影局2023年暑期数据,2023,http://www.news.cn/comments/20230902/9cc76054844843d98563987b9ba1524d/c.html,国家电影局：2023年6月1日至8月31日暑期档票房206.19亿元，观影5.05亿人次，首次破200亿,snapshots/国家电影局_暑期档电影票房.html,L1,入库L1,R1,否
