主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,全社会跨区域人员流动量(8天),24.33,亿人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-人员流动,官方总量,实际,同比,8,水平值,2026-08-21,,交通运输部,国庆中秋假期交通出行人数创历史新高,2025-10-09,A,https://www.gov.cn/lianbo/bumen/202510/content_7043688.htm,预计24.32亿；日均3.04亿，同比+6.3%；创历史新高；与营业性客运分列不可相加
交通出行,公路人员流动量(含非营业性小客车),22.47,亿人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-人员流动,官方总量,实际,同比,8,水平值,2026-08-21,,交通运输部,国庆中秋假期跨区域人员流动量预计超24亿,2025-10-09,A,http://cpc.people.com.cn/n1/2025/1009/c64387-40578007.html,日均超2.8亿，+6.5%；含高速/普通国省道非营业性小客车+公路营业性客运
交通出行,国铁集团铁路发送旅客(12天运输),2.13,亿人次,水平值,2025-09-29至2025-10-10,12天,12天-口径,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,缺口-口径差异,国铁集团,铁路国庆中秋假期运输收官,2025-10-11,A,http://www.china-railway.com.cn/xwzx/ywsl/202510/t20251013_149197.html,9.29-10.10共12天；日均1776.3万，+8.6%；国铁发送货物1.37亿吨；与交运部8天1.53亿口径不同分列
交通出行,民航客运量(交运部8天口径),1917,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,,交通运输部,国庆中秋假期跨区域人员流动量预计超24亿,2025-10-09,A,http://cpc.people.com.cn/n1/2025/1009/c64387-40578007.html,日均240万，+3.4%
交通出行,民航旅客运输量(民航局预计),1920,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,缺口-预判待核对,民航局(央视),透过数据看假期出行热力十足,2025-09-30,A,https://news.cctv.cn/2025/09/30/ARTIbC9DIyz7ua4iMYjl2NXI250930.shtml,创历史同期最高水平；假期前预计值
交通出行,水路客运量,1167,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,,交通运输部,国庆中秋假期跨区域人员流动量预计超24亿,2025-10-09,A,http://cpc.people.com.cn/n1/2025/1009/c64387-40578007.html,日均146万，+4.2%
交通出行,铁路单日旅客发送量峰值(10.1),2313.2,万人次,水平值,2025-10-01,单日,单日-口径,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,,国铁集团,国庆中秋假期首日出行高峰,2025-10-09,A,http://wap.china-railway.com.cn/xwzx/mtjj/xhs/xinhuanet/202510/t20251010_149115.html,创单日旅客发送量历史新高
交通出行,铁路客运量(交运部8天口径),1.53,亿人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,交通运输-客运,官方总量,实际,同比,8,水平值,2026-08-21,,交通运输部,国庆中秋假期跨区域人员流动量预计超24亿,2025-10-09,A,http://cpc.people.com.cn/n1/2025/1009/c64387-40578007.html,日均1924万，+2.6%；与国铁12天口径2.13亿不同，分列
平台,出境游热门目的地机票预订量同比(去哪儿),30,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,去哪儿,长假游观察,2025-10-09,C,https://tidenews.com.cn/news.html?id=3268443,超三成；该平台自身口径
平台,出境游预订覆盖国家/地区(飞猪),140,个,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,较去年,8,水平值,2026-08-21,,飞猪,国庆中秋将迎出游高峰,2025-09-24,C,http://paper.people.com.cn/rmrbhwb/pad/content/202509/24/content_30106713.html,覆盖140多个国家和地区，较去年大幅增加
平台,县域目的地预订单同比(美团),50,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,美团,双节假期为消费注入活力,2025-10-09,C,https://static.weeklyonstock.com/25/1014/zbf175227.html,同比增长超五成
平台,对华免签俄罗斯出境预订同比(飞猪),200,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,飞猪,国庆中秋将迎出游高峰,2025-09-24,C,http://paper.people.com.cn/rmrbhwb/pad/content/202509/24/content_30106713.html,同比增长近2倍；俄罗斯首次成出境前3热门
平台,韩国团队游产品订单同比(携程),357,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,平台订单,平台自披露,实际,同比,8,增长率,2026-08-21,,携程(环球网),免签政策打开中韩旅游新空间,2025-10-09,C,https://m.huanqiu.com/article/4OhZ6MN9FLU,韩国9.29限时免签证团政策落地后激增
总体,人均旅游消费支出(测算=8090.06/8.88),911,元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,旅游总花费,媒体测算,推算,无,8,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,测算值；与实测分栏
总体,出游人次日均(推算=8.88/8),1.11,亿人次/天,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,旅游总花费,测算,推算,无,8,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,per-day等效值；D级推算
总体,出游总花费日均(推算=8090.06/8),1011.26,亿元/天,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,旅游总花费,测算,推算,无,8,水平值,2026-08-21,缺口-测算,测算(基于文旅部数据),本报告推算,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,per-day等效值；D级推算
总体,国内出游总花费,8090.06,亿元,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,旅游总花费,官方总量,实际,较2024(7天),8,水平值,2026-08-21,,文化和旅游部,国庆中秋假期文化和旅游市场情况,2025-10-09,A,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,8天口径；较2024国庆7天+1081.89亿元；与商务部社零分列不可相加
总体,国内旅游出游人次,8.88,亿人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,旅游总花费,官方总量,实际,较2024(7天),8,水平值,2026-08-21,,文化和旅游部,国庆中秋假期文化和旅游市场情况,2025-10-09,A,https://www.gov.cn/lianbo/bumen/202510/content_7043743.htm,8天口径；较2024国庆7天+1.23亿人次；跨年须per-day折算
政策宏观,2025国庆中秋合并放假天数,8,天,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,政策宏观,官方总量,实际,无,8,水平值,2026-08-21,,国务院办公厅,关于2025年部分节假日安排的通知,2024-11-12,A,https://news.cctv.com/2024/11/12/ARTIpdPD9BFgB4TnLNXKtCgc241112.shtml,10月1日至8日放假调休共8天；9月28日、10月11日上班
政策宏观,78个步行街商圈客流量同比,8.8,%,水平值,2025-10-01至2025-10-07,7天,7天-口径,社零消费,商务部重点监测口径,实际,同比,8,增长率,2026-08-21,,商务部,消费市场人气旺亮点多,2025-10-09,A,https://www.bjnews.com.cn/detail/1760016990129085.html,10.1-7；营业额同比+6.0%
政策宏观,中外出入境人员,1634.3,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,出入境,官方总量,实际,同比,8,水平值,2026-08-21,,国家移民管理局,国庆中秋假期1634.3万人次出入境,2025-10-09,A,https://www.nia.gov.cn/n897453/c1745818/content.html,日均204.3万，+11.5%；单日峰值10.4日235.3万人次
政策宏观,入境外国人,75.1,万人次,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,出入境,官方总量,实际,同比,8,水平值,2026-08-21,,国家移民管理局,国庆中秋假期1634.3万人次出入境,2025-10-09,A,https://www.gov.cn/lianbo/bumen/202510/content_7043639.htm,+19.8%；内地居民出入境916.5万(+9.6%)、港澳台574.4万(+12.2%)、外国人143.4万(+21.6%)
政策宏观,全国重点零售和餐饮企业销售额同比(可比口径),2.7,%,水平值,2025-10-01至2025-10-08,8天,文旅部8天口径v1.0,社零消费,官方总量,实际,同比,8,增长率,2026-08-21,,商务部,国庆中秋假期全国重点零售和餐饮企业销售额增长,2025-10-09,A,https://www.gov.cn/lianbo/bumen/202510/content_7043739.htm,属社零口径，与旅游总花费不同家族不可相加
