检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2024 十一 出游,2026-08-28-R1,国内出游人数 = 7.65亿人次,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024,https://www.mct.gov.cn/preview/whzx/whyw/202410/t20241008_955599.htm,文旅部：2024国庆国内出游7.65亿人次(+5.9%),snapshots/文化和旅游部_国内出游人数.html,L1,入库L1,R1,否
2024 十一 收入,2026-08-28-R1,国内游客出游总花费 = 7008.17亿元,文化和旅游部,2024年国庆节假期文化和旅游市场情况,2024,https://www.mct.gov.cn/preview/whzx/whyw/202410/t20241008_955599.htm,文旅部：2024国庆出游总花费7008.17亿元(+6.3%),snapshots/文化和旅游部_国内游客出游总花费.html,L1,入库L1,R1,否
2024 十一 流动,2026-08-28-R1,全社会跨区域人员流动量 = 20.03亿人次,交通运输部,2024年国庆假期交通运输数据,2024,http://www.news.cn/politics/20241008/07f2a8d242c5481cbc2ae37cecb2d69f/c.html,交通运输部：2024国庆全社会跨区域人员流动量20.03亿人次(+3.9%),snapshots/交通运输部_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2024 十一 铁路,2026-08-28-R1,铁路客运量 = 13125.1万人次,国铁集团,2024年国庆假期铁路数据,2024,http://www.news.cn/politics/20241008/07f2a8d242c5481cbc2ae37cecb2d69f/c.html,国铁集团：2024国庆铁路客运量13125.1万人次(+6.3%),snapshots/国铁集团_铁路客运量.html,L1,入库L1,R1,否
2024 十一 民航,2026-08-28-R1,民航客运量 = 1609.6万人次,民航局,2024年国庆假期民航数据,2024,https://www.gov.cn/yaowen/shipin/202410/content_6978799.htm,民航局：2024国庆民航客运量1609.6万人次(+11.1%),snapshots/民航局_民航客运量.html,L1,入库L1,R1,否
2024 十一 水路,2026-08-28-R1,水路客运量 = 980.1万人次,交通运输部,2024年国庆假期交通运输数据,2024,http://wap.china-railway.com.cn/xwzx/mtjj/xhs/xinhuanet/202410/t20241009_138319.html,交通运输部：2024国庆水路客运量980.1万人次,snapshots/交通运输部_水路客运量.html,L1,入库L1,R1,否
2024 十一 社零,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 4.5%,商务部,2024年国庆假期消费数据,2024,http://www.ce.cn/xwzx/gnsz/gdxw/202410/08/t20241008_39161109.shtml,商务部：2024国庆全国重点零售和餐饮企业销售额+4.5%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2024 十一 税务,2026-08-28-R1,消费相关行业日均销售收入增速 = 25.1%,国家税务总局,2024年国庆假期增值税发票数据,2024,https://m.huanqiu.com/article/4JlaEHRc9Os,税务总局：2024国庆消费相关行业日均销售收入+25.1%,snapshots/国家税务总局_消费相关行业日均销售收入增速.html,L1,入库L1,R1,否
2024 十一 票房,2026-08-28-R1,国庆档电影票房 = 21.04亿元,国家电影局,2024年国庆档电影数据,2024,https://epaper.guilinlife.com/glrbpc/glrb/20241009/06.pdf,国家电影局：2024国庆档电影票房21.04亿元，观影5209万人次,snapshots/国家电影局_国庆档电影票房.html,L1,入库L1,R1,否
2024 十一 河南,2026-08-28-R1,河南接待游客 = 7991.6万人次,河南省文化和旅游厅,河南省国庆旅游数据,2024,https://www.henan.gov.cn/2024/10-08/3070386.html,河南文旅厅：2024国庆接待游客7991.6万人次(+5.1%)，旅游收入565.9亿元(+15.5%),snapshots/河南省文化和旅游厅_河南接待游客.html,L1,入库L1,R1,否
2024 十一 安徽,2026-08-28-R1,安徽接待游客 = 6530.6万人次,安徽省文化和旅游厅,安徽省国庆旅游数据,2024,http://www.ce.cn/xwzx/gnsz/gdxw/202410/11/t20241011_39164998.shtml,安徽：2024国庆接待游客6530.6万人次创历史新高,snapshots/安徽省文化和旅游厅_安徽接待游客.html,L1,入库L1,R1,否
2024 十一 广东,2026-08-28-R1,广东接待游客 = 5848.1万人次,广东省文化和旅游厅,广东省国庆旅游数据,2024,http://www.ce.cn/xwzx/gnsz/gdxw/202410/11/t20241011_39164998.shtml,广东：2024国庆接待游客5848.1万人次，位列第三,snapshots/广东省文化和旅游厅_广东接待游客.html,L1,入库L1,R1,否
2024 十一 四川,2026-08-28-R1,四川接待游客 = 5531.80万人次,四川省文化和旅游厅,四川省国庆旅游数据,2024,https://m.sohu.com/a/815045255_120468014/,四川文旅厅：2024国庆接待游客5531.8万人次(+11.09%)，旅游消费348.37亿元(+9.48%),snapshots/四川省文化和旅游厅_四川接待游客.html,L1,入库L1,R1,否
2024 十一 美团 餐饮,2026-08-28-R1,美团餐饮堂食日均消费额增速 = 33.4%,美团,美团国庆消费数据,2024,https://epa.comnews.cn/pc/attachment/202410/09/263d1984-52b8-4566-b818-5d96ed344838.pdf,美团：2024国庆前5天餐饮堂食日均消费额+33.4%。平台自身口径,snapshots/美团_美团餐饮堂食日均消费额增速.html,L1,入库L1,R1,否
2024 十一 美团 到店,2026-08-28-R1,美团生活服务到店消费增速 = 41.2%,美团,美团国庆消费数据,2024,https://m.huanqiu.com/article/4JlaEHRc9Os,美团：2024国庆生活服务到店消费+41.2%。平台自身口径,snapshots/美团_美团生活服务到店消费增速.html,L1,入库L1,R1,否
2024 十一 北京,2026-08-28-R1,北京重点企业销售额 = 70.6亿元,北京市商务局,北京市国庆消费数据,2024,https://www.gov.cn/lianbo/difang/202410/content_6978611.htm,北京商务局：2024国庆重点监测企业销售额70.6亿元，60个重点商圈客流量+19.7%,snapshots/北京市商务局_北京重点企业销售额.html,L1,入库L1,R1,否
2024 十一 上海,2026-08-28-R1,上海线上线下消费额 = 676亿元,上海市商务委,上海市国庆消费数据,2024,https://www.gov.cn/lianbo/difang/202410/content_6978611.htm,上海商务委：9.30-10.6线上线下消费676亿元,snapshots/上海市商务委_上海线上线下消费额.html,L1,入库L1,R1,否
2024 十一 演出 L2,2026-08-28-R1,2024国庆'跟着演出去旅行'热潮持续：营业性演出场次和观众人数创新高，文化演艺拉动文旅消费,文化和旅游部,,,https://www.mct.gov.cn/preview/whzx/whyw/202410/t20241008_955599.htm,国庆假期营业性演出场次和观众人数同比均有增长，'演出+旅游'深度融合,snapshots/文化和旅游部_2024国庆'跟着演出去旅行'热.html,L2,入库L2,R1,否
2024 十一 红色旅游 L2,2026-08-28-R1,国庆爱国氛围叠加出游热情：红色旅游成假期热点，文博场馆延时服务、夜游项目受欢迎,文化和旅游部,,,https://www.gov.cn/lianbo/bumen/202410/content_6978755.htm,多地文博场馆延时服务、推出夜游项目，红色旅游成为广大游客的选择,snapshots/文化和旅游部_国庆爱国氛围叠加出游热情：红色旅.html,L2,入库L2,R1,否
2024 十一 山西 L2,2026-08-28-R1,'悟空带火山西游'：黑神话悟空带动山西古建游热度大涨，山西66个重点景区游客量创新高,中国经济网,,,http://www.ce.cn/xwzx/gnsz/gdxw/202410/11/t20241011_39164998.shtml,黑神话悟空游戏取景地效应持续发酵，山西古建筑游成为国庆热点,snapshots/中国经济网_'悟空带火山西游'：黑神话悟空带.html,L2,入库L2,R1,否
2024 十一 露营 L2,2026-08-28-R1,露营、民宿消费快速增长：露营/民宿销售收入同比+43.2%/+6.3%，新消费场景持续拓展,国家税务总局,,,https://m.huanqiu.com/article/4JlaEHRc9Os,露营、民宿等新消费业态成为假期消费增长点,snapshots/国家税务总局_露营、民宿消费快速增长：露营_民.html,L2,入库L2,R1,否
2024 十一 出入境,2026-08-28-R1,国庆出入境人员 = 1309.8万人次,国家移民管理局,2024年国庆节出入境数据,2024,https://www.nia.gov.cn/n794014/n1050181/n1050498/c1677123/content.html,移民局：2024国庆出入境1309.8万人次(+25.8%),snapshots/国家移民管理局_国庆出入境人员.html,L1,入库L1,R1,否
