主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,全社会跨区域人员流动量,20.03,亿人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均28618.7万
交通出行,公路人员流动量,184616,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均26373.7万
交通出行,公路小客车出行量,158541,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,占公路人员流动量85.9%;+3.8%;较2019+55.8%
交通出行,民航客运量,1609.6,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,民航客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均229.9万
交通出行,民航客运量日均,229.9,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,民航客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,较2023日均+11.1%
交通出行,水路客运量,980.1,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,水路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均140万
交通出行,跨区域人员流动量日均,28618.7,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,官方发布的日均值;较2023日均+3.9%
交通出行,边检出入境人员,1309.8,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,官方边检,实际,同比,7,水平值,2026-08-21,,国家移民管理局,国庆节期间1309.8万人次出入境,2024-10-08,A,https://www.nia.gov.cn/n897453/c1677123/content.html,同比增长25.8%;出入境双向奔赴;与文旅部旅游口径入出境人数不同
交通出行,边检出入境人员日均(测算),187.1,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,客流人次,测算,推算,同比,7,水平值,2026-08-21,测算待核,本报告推算,由边检数据派生,2026-08-21,D,https://www.nia.gov.cn/n897453/c1677123/content.html,=1309.8/7;D级推算
交通出行,铁路单日客流峰值(10/1),2144.8,万人次,人次,2024-10-01,单日,国铁单日口径,铁路客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2026-08-21,,中国国家铁路集团(新华社),铁路国庆黄金周运输,2024-10-09,A,https://news.cctv.com/2024/10/09/ARTI2lNhHEeE6QAKEjUqVpiA241009.shtml,10月1日单日创历史新高
交通出行,铁路国庆黄金周累计发送旅客,1.77,亿人次,人次,2024-09-29 至 2024-10-08,10天,国铁10天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,累计(窗口内),7,水平值,2026-08-21,,中国国家铁路集团(新华社),铁路国庆黄金周运输,2024-10-09,A,https://news.cctv.com/2024/10/09/ARTI2lNhHEeE6QAKEjUqVpiA241009.shtml,9/29-10/8共10天;日均1773.9万;10/1单日2144.8万创历史新高;与交通运输部7天口径(1.31亿)为双口径并列
交通出行,铁路客运量,13125.1,万人次,人次,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均1875万
交通出行,铁路客运量日均,1875,万人次/天,日度,2024-10-01 至 2024-10-07,7天,国庆7天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,较2023,7,水平值,2026-08-21,,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,较2023日均+6.3%
平台渠道,去哪儿三线及以下城市出境游订单同比,近3倍,倍,指数,2024-10-01 至 2024-10-07,7天,去哪儿自披露口径,平台GMV,平台自披露,实际,同比,7,指数,2026-08-21,,去哪儿(中青网转引),平台数据,2024-10-07,C,https://tour.youth.cn/xw/202410/t20241012_15574897.htm,该平台自身口径
