主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国内出游人次,5.96,亿人次,文化和旅游部,2026年春节假期文化和旅游市场情况,2026-02-24,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202602/t20260224_964790.html,9天假期；较2025年（8天）增加0.95亿人次；创历史新高,9,官方总量,无(水平值),9天,水平值,2026-03-13,
总体,国内出游总花费,8034.83,亿元,文化和旅游部,2026年春节假期文化和旅游市场情况,2026-02-24,A,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202602/t20260224_964790.html,较2025年增加1264.81亿元；花费创历史新高,9,官方总量,无(水平值),9天,水平值,2026-03-13,
游客画像,人均每日旅游消费,149.79,元/人/日,迈点研究院（基于文旅部数据测算）,中国酒店业春节市场总结,2026-02,B,https://cj.sina.cn/articles/view/1650111241/625ab30902001fu2q,较2025年春节（168.91元）同比-11.32%；2021年以来新低,9,测算,同比,9天,增长率,2026-03-13,
游客画像,用户人均打卡城市数,2.2,个,多家在线旅游平台（文旅部转引）,史上最长春节假期收官,2026-02-23,B,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwhzx%2Fwhyw%2F202602%2Ft20260223_964767.htm,一次假期多段出游；订单量与人均消费双增,9,官方总量,无(水平值),9天,水平值,2026-03-13,
交通,春运全社会跨区域人员流动量,94,亿人次,交通运输部,2026年春运数据,2026-03-13,A,https://www.chinanews.com.cn/cj/2026/03-13/10586446.shtml,日均2.35亿；同比+4.3%；再创历史新高,9,官方跨区域(含自驾),同比,9天,增长率,2026-03-13,
交通,春运铁路客运量,5.38,亿人次,交通运输部,2026年春运数据,2026-03-13,A,https://www.chinanews.com.cn/cj/2026/03-13/10586446.shtml,日均1344万；同比+4.8%,9,官方跨区域(含自驾),同比,9天,增长率,2026-03-13,
交通,春运公路人员流动量,87.36,亿人次,交通运输部,2026年春运数据,2026-03-13,A,https://www.chinanews.com.cn/cj/2026/03-13/10586446.shtml,同比+4.2%,9,官方跨区域(含自驾),同比,9天,增长率,2026-03-13,
交通,春运水路客运量,3595,万人次,交通运输部,2026年春运数据,2026-03-13,A,https://www.chinanews.com.cn/cj/2026/03-13/10586446.shtml,同比+15.2%,9,官方跨区域(含自驾),同比,9天,增长率,2026-03-13,
交通,春运民航客运量,9439,万人次,交通运输部,2026年春运数据,2026-03-13,A,https://www.chinanews.com.cn/cj/2026/03-13/10586446.shtml,同比+4.6%,9,官方跨区域(含自驾),同比,9天,增长率,2026-03-13,
政策宏观,重点零售和餐饮企业日均销售额同比,+5.7,%,商务部,春节假期消费市场情况,2026-02-24,A,https://dzswgf.mofcom.gov.cn/news/43/2026/2/1771997945401.html,增速加快1.6个百分点,9,官方总量,同比,9天,水平值,2026-03-13,
政策宏观,重点监测78个步行街（商圈）客流量,+6.7,%,商务部,春节假期消费市场情况,2026-02-24,A,https://dzswgf.mofcom.gov.cn/news/43/2026/2/1771997945401.html,营业额+7.5%,9,官方重点监测,无(水平值),9天,水平值,2026-03-13,
政策宏观,消费品以旧换新带动销售额,2070.3,亿元,商务部,春节假期消费市场情况,2026-02-24,A,https://dzswgf.mofcom.gov.cn/news/43/2026/2/1771997945401.html,截至2月23日惠及3112.7万人次,9,官方总量,无(水平值),9天,水平值,2026-03-13,
政策宏观,网上年货节网络零售额（截至2月8日）,9897.3,亿元,商务部,2026全国网上年货节,2026-02-11,A,https://dzswgf.mofcom.gov.cn/news/385/2026/2/1770788718249.html,在线餐饮+11.5%；在线旅游+5.3%,9,官方总量,无(水平值),9天,水平值,2026-03-13,
