主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,春节8天全国国内旅游出游人次,4.74,亿人次,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,同比+34.3%，较2019同期+19.0%,8,官方总量,较2019,8天,增长率,2024-03-05,
总体,春节8天国内游客出游总花费,6326.87,亿元,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,同比+47.3%，较2019同期+7.7%,8,官方总量,较2019,8天,增长率,2024-03-05,
总体,春节假期入出境旅游,683,万人次,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,出境约360万，入境约323万,8,官方总量,无(水平值),8天,水平值,2024-03-05,
总体,春节假期人均旅游消费（测算）,1335,元,中信证券（据文旅部数据测算）,春节假期旅游市场消费火热 高景气度持续验证,2024-02-19,D,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-02-19/doc-inaiprfr2827141.shtml,测算值=总花费/出游人次,8,测算,无(水平值),8天,水平值,2024-03-05,
游客画像,跨省游订单占比,57,%,携程,2024龙年春节旅行报告,2024-02-17,C,https://difang.gmw.cn/sh/2024-02/19/content_37153262.htm,同比翻番增长,8,平台自披露,同比,8天,增长率,2024-03-05,
游客画像,多段出游（2个及以上城市）订单占比,20,%,携程,2024龙年春节旅行报告,2024-02-17,C,https://difang.gmw.cn/sh/2024-02/19/content_37153262.htm,同比提升3个百分点,8,平台自披露,同比,8天,增长率,2024-03-05,
游客画像,春节出游亲子家庭占比,47,%,携程,2024春节旅行趋势预测报告,2024-01,C,https://www.comnews.cn/content/2024-01/19/content_36670.html,同比提升5个百分点,8,平台自披露,同比,8天,增长率,2024-03-05,
景区,全国营业性演出场次,1.63,万场,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,同比+52.10%,8,官方总量,同比,8天,增长率,2024-03-05,
景区,全国营业性演出票房收入,7.78,亿元,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,同比+80.09%,8,官方总量,同比,8天,增长率,2024-03-05,
景区,全国营业性演出观演人数,657.65,万人次,文化和旅游部,春节假期文化和旅游市场安全繁荣有序,2024-02-18,A,https://mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202402/t20240218_951325.html,同比+77.71%,8,官方总量,同比,8天,增长率,2024-03-05,
