主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,2024五一同期全社会跨区域人员流动量,135846.27,万人次,总量,2024-05-01,2024-05-01至2024-05-05(5天),5天口径,跨区人员流动,实测,实际,2023同期,5,水平值,2026-08-21,无,交通运输部,2024五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,"日均27169.3万,同比+2.1%"
交通出行,2024五一同期民航客运量,997.1,万人次,总量,2024-05-01,2024-05-01至2024-05-05(5天),5天口径,交通客运,实测,实际,2023同期,5,水平值,2026-08-21,无,交通运输部,2024五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,"日均199.4万,同比+8.1%"
交通出行,2024五一同期铁路客运量,9176.5,万人次,总量,2024-05-01,2024-05-01至2024-05-05(5天),5天口径,交通客运,实测,实际,2023同期,5,水平值,2026-08-21,无,交通运输部,2024五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,"日均1835.3万,同比+1.4%"
交通出行,全社会跨区域人员流动量,146594,万人次,总量,2025-05-01,2025-05-01至2025-05-05(5天),5天口径,跨区人员流动,实测,实际,2024同期,5,水平值,2026-08-21,无,交通运输部(新华社),五一假期交通出行人数,2025-05-06,A,https://www.gov.cn/zhengce/jiedu/tujie/202505/content_7022589.htm,"日均29319万人次,同比+7.9%; 含自驾人员流动,与营业性客运量分列"
交通出行,公路跨区域人员流动单日(5月1日),30561,万人次,总量,2025-05-01,2025-05-01,单日口径,跨区人员流动,实测,实际,2024同期,1,水平值,2026-08-21,无,交通运输部(中国铁路转引),五一假期单日交通数据,2025-05-06,A,http://wap.china-railway.com.cn/xwzx/mtjj/xhs/xinhuanet/202505/t20250506_144981.html,同比+4.7%; 含高速及普通国省道非营业性小客车人员出行、公路营业性客运
交通出行,民航客运单日峰值(5月1日),233.6,万人次,总量,2025-05-01,2025-05-01,单日口径,交通客运,实测,实际,2024同期,1,水平值,2026-08-21,无,民航局/中国铁路,五一假期单日交通数据,2025-05-06,A,http://wap.china-railway.com.cn/xwzx/mtjj/xhs/xinhuanet/202505/t20250506_144981.html,同比+8.9%
交通出行,民航客运量,1115,万人次,总量,2025-05-01,2025-05-01至2025-05-05(5天),5天口径,交通客运,实测,实际,2024同期,5,水平值,2026-08-21,无,交通运输部/民航局,五一假期交通出行人数(分方式),2025-05-06,A,http://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202505/content_7022596.htm,"同比+11.8%,日均223万人次"
交通出行,水路客运量,861,万人次,总量,2025-05-01,2025-05-01至2025-05-05(5天),5天口径,交通客运,实测,实际,2024同期,5,水平值,2026-08-21,无,交通运输部,五一假期交通出行人数(分方式),2025-05-06,A,http://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202505/content_7022596.htm,"同比+23.8%,日均172万人次"
交通出行,跨区域人员流动量日均,29319,万人次/天,日均,2025-05-01,2025-05-01至2025-05-05(5天),日均口径,跨区人员流动,实测,实际,2024同期,5,水平值,2026-08-21,无,交通运输部,五一假期交通出行人数,2025-05-06,A,https://www.gov.cn/zhengce/jiedu/tujie/202505/content_7022589.htm,同比+7.9%
交通出行,铁路客运单日峰值(5月1日),2311.9,万人次,总量,2025-05-01,2025-05-01,单日口径,交通客运,实测,实际,2024同期,1,水平值,2026-08-21,无,中国国家铁路集团,五一假期全国铁路单日发送旅客2311.9万人次,2025-05-06,A,http://wap.china-railway.com.cn/xwzx/mtjj/xhs/xinhuanet/202505/t20250506_144981.html,"同比+11.7%,单日旅客发送量创历史新高"
