主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,公路租车订单,+60,%,百分比,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08,,珠江评论（综合）,2026暑运,2026,C,https://sp.ycwb.com/ikimvkltjc/content_54236994.htm,公路自驾；该来源综合
交通出行,增开跨局旅游列车,480,列,列,2026-07-01 至 2026-08-31,7-8月合计,62天口径,铁路客运量,官方总量,实际,同比,62,水平值,2026-06-30,,中国国家铁路集团,2026年全国铁路暑期运输,2026,A,http://www.china-railway.com.cn/xwzx/mtjj/xhs/xhw/202607/t20260720_158286.html,暑运增开跨铁路局旅客列车480列
交通出行,民航旅客吞吐量（机场口径·双口径）,2.77,亿人次,人次,2026-07-01 至 2026-08-31,7-8月合计,62天口径,民航客运量,行业协会计,实际,同比,62,水平值,2026-07,,CADAS（腾讯新闻转引）,2026暑运供需重构,2026,C,https://so.html5.qq.com/page/real/search_news?docid=70000021_5136a598e8243452,双口径补充：机场旅客吞吐量（中性情形-5.1%），与航司承运1.42亿不可直接相加
交通出行,民航暑运旅客运输量,1.42,亿人次,人次,2026-07-01 至 2026-08-31,7-8月合计,62天口径,民航客运量,平台自披露,实际,同比,62,水平值,2026-07,,航班管家,2026暑运出行预测,2026,C,https://www.ce.cn/xwzx/shgj/gdxw/202607/t20260708_3074506.shtml,仅含境内航司承运；同比-3.6%；日均228万；双口径：CADAS机场旅客吞吐量2.77亿（含全机场吞吐）口径不同
交通出行,民航经济舱平均票价,1197,元,元,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,水平值,2026-07,,航班管家,2026暑运票价预测,2026,C,https://so.html5.qq.com/page/real/search_news?docid=70000021_8696a33cbbb22852,含税；同比+18.6%；该平台自身口径
交通出行,水路暑运日均旅客,220,万人次/日,人次,2026-07-01 至 2026-08-31,7-8月合计,62天口径,水路客运量,官方总量,实际,同比,62,水平值,2026-08,,交通运输部（珠江评论转引）,2026暑运数据,2026,B,https://sp.ycwb.com/ikimvkltjc/content_54236994.htm,日均220万，同比+4.76%
交通出行,铁路暑运旅客发送量,10.1,亿人次,人次,2026-07-01 至 2026-08-31,7-8月合计,62天口径,铁路客运量,官方总量,实际,同比,62,水平值,2026-06-30,,中国国家铁路集团,2026年全国铁路暑期运输预测,2026,A,http://www.china-railway.com.cn/xwzx/mtjj/xhs/xhw/202607/t20260720_158286.html,国铁集团暑运预计值；日均1629万人次
平台渠道,同程亲子旅行产品预订,+45,%,百分比,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-07,,同程旅行,2026暑运出行趋势预测,2026,C,https://www.ce.cn/xwzx/shgj/gdxw/202607/t20260708_3074506.shtml,该平台自身口径
平台渠道,国内机票均价（同程）,925,元,元,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,水平值,2026-07,,同程旅行,2026暑运出行趋势预测,2026,C,https://www.ce.cn/xwzx/shgj/gdxw/202607/t20260708_3074506.shtml,含机建燃油；同比+4%
平台渠道,国际机票均价（同程）,1372,元,元,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,水平值,2026-07,,同程旅行,2026暑运出行趋势预测,2026,C,https://www.ce.cn/xwzx/shgj/gdxw/202607/t20260708_3074506.shtml,含税费；同比+11%
平台渠道,携程亲子游客预订,+13.6,%,百分比,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-07,,携程,2026暑期旅游新趋势,2026,C,https://www.lvjie.co/brand/2026/0703/35146.html,该平台自身口径
平台渠道,携程跨省游预订,+22.4,%,百分比,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-07,,携程,2026暑期旅游新趋势,2026,C,https://www.lvjie.co/brand/2026/0703/35146.html,该平台自身口径
平台渠道,飞猪暑期旅游热度,+40,%,百分比,2026-07-01 至 2026-08-31,7-8月合计,62天口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08,,飞猪,2026暑期出游风向标,2026,C,https://www.jtepms.cn/post/248.html,该平台自身口径；亲子+31%/大学生+58%
总体,2026十一国内出游人次（预测）,8.0,亿人次,人次,2026-10-01 至 2026-10-07,7天,7天口径,旅游总花费,测算,预计,较节假日X,7,水平值,2026-08-24,预判待回填,内部测算,2026暑假报告前瞻,2026,D,,预测ID=2026十一-F01；中心值8.0亿/区间7.7-8.3亿/置信度中；2026十一7天(拆分)
总体,2026十一旅游总花费（预测）,7800,亿元,亿元,2026-10-01 至 2026-10-07,7天,7天口径,旅游总花费,测算,预计,较节假日X,7,水平值,2026-08-24,预判待回填,内部测算,2026暑假报告前瞻,2026,D,,预测ID=2026十一-F02；中心值7800亿/区间7500-8100亿/置信度中；待官方回填
