主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,2023春节国内旅游出游人次,3.08,亿人次,文化和旅游部（新华社转引）,2023年春节假期文化和旅游市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,同比+23.1%；恢复至2019同期88.6%,7,官方总量,同比,7天,增长率,2023-02-16,
总体,2023春节国内旅游收入,3758.43,亿元,文化和旅游部,2023年春节假期文化和旅游市场情况,2023-01-27,A,https://www.mct.gov.cn/whzx/whyw/202301/t20230127_938781.htm,同比+30%；恢复至2019同期73.1%,7,官方总量,同比,7天,增长率,2023-02-16,
景区,A级旅游景区正常开放数,10739,家,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,占全国A级73.5%,7,官方总量,无(水平值),7天,水平值,2023-02-16,
景区,全国营业性演出场次,9400,余场次,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,同比+40.92%；票房3.78亿元,7,官方总量,同比,7天,增长率,2023-02-16,
景区,营业性演出票房收入,3.78,亿元,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,观演约323.8万人次,7,官方总量,无(水平值),7天,水平值,2023-02-16,
景区,夜间文旅消费集聚区客流量,5212.2,万人次,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,243个集聚区，平均每夜3.06万人次,7,官方总量,无(水平值),7天,水平值,2023-02-16,
景区,免费开放A级旅游景区,1281,家,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,占9%；62家5A免票,7,官方总量,无(水平值),7天,水平值,2023-02-16,
群众文化,群众文化活动场次,11,万场,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,参与约4.73亿人次,7,官方总量,无(水平值),7天,水平值,2023-02-16,
交通,铁路春运（40天）发送旅客,3.48,亿人次,国铁集团,2023年铁路春运圆满收官,2023-02-15,A,http://www.china-railway.com.cn/xwzx/ywsl/202302/t20230220_126229.html,同比+37.4%；日均870万；恢复2019的85.5%,7,官方营业性(不含自驾),同比,7天,增长率,2023-02-16,
交通,民航春节7天运送旅客,900,万人次,民航局（中国政府网转引）,春节假期民航运送旅客,2023-01-29,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/29/content_5739038.htm,同比+79.8%；平均客座率76%,7,官方营业性(不含自驾),同比,7天,增长率,2023-02-16,
交通,民航春节7天保障航班,83844,班,民航局,春节假期民航,2023-01-29,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/29/content_5739038.htm,日均11977班；+33.6%,7,官方营业性(不含自驾),无(水平值),7天,水平值,2023-02-16,
交通,春运民航（40天）运送旅客,5523,万人次,民航局（光明网转引）,2023年春运民航运输旅客,2023-02-16,B,https://economy.gmw.cn/2023-02/16/content_36371198.htm,同比+39%；平均客座率74%,7,官方营业性(不含自驾),同比,7天,增长率,2023-02-16,
