检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2023 春节 文旅部 出游人次,2026-08-28-R1,国内旅游出游人次 = 3.08亿人次,文化和旅游部,2023年春节假期文化和旅游市场情况,2023-01-27,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,经文旅部数据中心测算，春节假期全国国内旅游出游3.08亿人次，同比+23.1%，恢复至2019年88.6%,snapshots/文化和旅游部_国内旅游出游人次.html,L1,入库L1,R1,否
2023 春节 文旅部 旅游收入,2026-08-28-R1,国内旅游收入 = 3758.43亿元,文化和旅游部,2023年春节假期文化和旅游市场情况,2023-01-27,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,实现国内旅游收入3758.43亿元，同比+30%，恢复至2019年73.1%,snapshots/文化和旅游部_国内旅游收入.html,L1,入库L1,R1,否
2023 春节 A级景区 开放,2026-08-28-R1,A级旅游景区开放数 = 10739家,文化和旅游部,春节国内出游超3亿人次 恢复至2019年同期近9成,2023-01-28,http://www.news.cn/info/20230128/e89b5ceed6ef42ea9359c546f64a8b98/c.html,10739家A级旅游景区正常开放，占全国A级旅游景区总数的73.5%,snapshots/文化和旅游部_A级旅游景区开放数.html,L1,入库L1,R1,否
2023 春节 人均消费,2026-08-28-R1,人均旅游花费 = 1220元/人次,本技能测算,由文旅部总量推算,2023-01-27,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,人均旅游花费=3758.43亿元÷3.08亿人次≈1220元/人次，派生指标,snapshots/本技能测算_人均旅游花费.html,L1,入库L1,R1,否
2023 春运 全社会人员流动量,2026-08-28-R1,春运全社会人员流动量 = 47.33亿人次,国务院联防联控机制春运工作专班,2023年春运全社会人员流动量约47.33亿人次,2023-02-16,https://www.gov.cn/xinwen/2023-02/16/content_5741800.htm,2023年春运40天，全社会人员流动量约47.33亿人次，较2022年同期增长50.5%,snapshots/国务院联防联控机制春运工_春运全社会人员流动量.html,L1,入库L1,R1,否
2023 春运 营业性客运量,2026-08-28-R1,春运营业性客运量 = 15.95亿人次,交通运输部,2023年春运全社会人员流动量约47.33亿人次,2023-02-16,https://www.gov.cn/xinwen/2023-02/16/content_5741800.htm,春运营业性客运量约15.95亿人次，比2022年+50.5%，恢复至2019年53.5%,snapshots/交通运输部_春运营业性客运量.html,L1,入库L1,R1,否
2023 春运 铁路客运量,2026-08-28-R1,春运铁路发送旅客 = 3.48亿人次,国铁集团,2023年铁路春运圆满收官,2023-02-17,https://www.nra.gov.cn/xwzx/xwxx/xwlb/202302/t20230217_339797.shtml,2023年铁路春运累计发送旅客3.48亿人次，同比+9473万人次、+37.4%，恢复至2019年85.5%,snapshots/国铁集团_春运铁路发送旅客.html,L1,入库L1,R1,否
2023 春运 民航,2026-08-28-R1,春运民航发送旅客 = 5521.4万人次,民航局,2023年春运全社会人员流动量约47.33亿人次,2023-02-16,https://www.gov.cn/xinwen/2023-02/16/content_5741800.htm,2023年春运民航发送旅客5521.4万人次，比2022年同期增长38.7%,snapshots/民航局_春运民航发送旅客.html,L1,入库L1,R1,否
2023 春节 发送旅客,2026-08-28-R1,春节假期全国发送旅客 = 2.26亿人次,国务院联防联控机制春运工作专班,2023年春节假期全国共发送旅客约2.26亿人次,2023-01-29,https://www.nra.gov.cn/xwzx/tpsp/tpxx/202301/t20230129_339665.shtml,2023年春节假期（1月21-27日），全国铁路、公路、水路、民航共发送旅客约2.26亿人次,snapshots/国务院联防联控机制春运工_春节假期全国发送旅客.html,L1,入库L1,R1,否
2023 春节 铁路,2026-08-28-R1,春节假期铁路发送旅客 = 5017.4万人次,国家铁路局,2023年春节假期全国共发送旅客约2.26亿人次,2023-01-29,https://www.nra.gov.cn/xwzx/tpsp/tpxx/202301/t20230129_339665.shtml,春节假期（1月21-27日）全国铁路共发送旅客5017.4万人次,snapshots/国家铁路局_春节假期铁路发送旅客.html,L1,入库L1,R1,否
