检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2025 春节 出游,2026-08-28-R1,国内出游人数 = 5.01亿人次,文化和旅游部,2025年春节假期文化和旅游市场情况,2025,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,文旅部：2025春节国内出游5.01亿人次(+5.9%),snapshots/文化和旅游部_国内出游人数.html,L1,入库L1,R1,否
2025 春节 收入,2026-08-28-R1,国内出游总花费 = 6770.02亿元,文化和旅游部,2025年春节假期文化和旅游市场情况,2025,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,文旅部：2025春节国内出游总花费6770.02亿元(+7.0%),snapshots/文化和旅游部_国内出游总花费.html,L1,入库L1,R1,否
2025 春节 流动,2026-08-28-R1,春节假期跨区域人员流动量 = 230684.5万人次,交通运输部,2025年春节假期交通运输数据,2025,https://www.gov.cn/yaowen/liebiao/202502/content_7002152.htm,交通运输部：2025春节跨区域人员流动量超23亿人次(+6%),snapshots/交通运输部_春节假期跨区域人员流动量.html,L1,入库L1,R1,否
2025 春节 铁路,2026-08-28-R1,铁路客运量 = 9612万人次,国铁集团,2025年春节假期铁路数据,2025,https://www.gov.cn/yaowen/liebiao/202502/content_7002152.htm,国铁集团：2025春节铁路客运量9612万人次,snapshots/国铁集团_铁路客运量.html,L1,入库L1,R1,否
2025 春节 民航,2026-08-28-R1,民航客运量 = 1828.58万人次,民航局,2025年春节假期民航数据,2025,https://www.gov.cn/yaowen/liebiao/202502/content_7002152.htm,民航局：2025春节民航客运量1828.58万人次,snapshots/民航局_民航客运量.html,L1,入库L1,R1,否
2025 春节 水路,2026-08-28-R1,水路客运量 = 935.3万人次,交通运输部,2025年春节假期交通运输数据,2025,https://www.gov.cn/yaowen/liebiao/202502/content_7002152.htm,交通运输部：2025春节水路客运量935.3万人次,snapshots/交通运输部_水路客运量.html,L1,入库L1,R1,否
2025 春节 社零,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 4.1%,商务部,商务部2025年春节消费数据,2025,https://www.gov.cn/lianbo/bumen/202502/content_7002504.htm,商务部：2025春节全国重点零售和餐饮企业销售额+4.1%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2025 春节 税务,2026-08-28-R1,消费相关行业日均销售收入增速 = 10.8%,国家税务总局,2025年春节假期增值税发票数据,2025,https://www.gov.cn/yaowen/liebiao/202502/content_7002463.htm,税务总局：2025春节消费相关行业日均销售收入+10.8%,snapshots/国家税务总局_消费相关行业日均销售收入增速.html,L1,入库L1,R1,否
2025 春节 支付,2026-08-28-R1,银联网联处理支付交易笔数 = 254.16亿笔,银联/网联/中国人民银行,2025年春节假期支付交易数据,2025,https://finance.people.com.cn/n1/2025/0206/c1004-40413122.html,央行：2025春节银联网联处理支付交易254.16亿笔、9.78万亿元,snapshots/银联_网联_中国人民银行_银联网联处理支付交易笔数.html,L1,入库L1,R1,否
2025 春节 除夕 支付,2026-08-28-R1,除夕银联网联支付交易笔数 = 40.54亿笔,中国人民银行,2025年春节支付数据,2025,https://politics.gmw.cn/2025-02/06/content_37835724.htm,央行：2025除夕银联网联处理支付交易40.54亿笔(+25.74%),snapshots/中国人民银行_除夕银联网联支付交易笔数.html,L1,入库L1,R1,否
2025 春节 广东,2026-08-28-R1,广东接待游客 = 8011.8万人次,广东省文化和旅游厅,广东省2025年春节旅游数据,2025,https://news.cctv.cn/2025/02/04/ARTIeTfaeaowJxTebMkrAg0t250204.shtml,广东文旅厅：2025春节接待游客8011.8万人次(+5.3%)，旅游收入745.3亿元(+7.5%),snapshots/广东省文化和旅游厅_广东接待游客.html,L1,入库L1,R1,否
2025 春节 四川,2026-08-28-R1,四川接待游客 = 6372.22万人次,四川省文化和旅游厅,四川省2025年春节旅游数据,2025,http://news.qq.com/rain/a/20250211A08WU500,四川：2025春节接待游客6372.22万人次,snapshots/四川省文化和旅游厅_四川接待游客.html,L1,入库L1,R1,否
2025 春节 江苏,2026-08-28-R1,江苏接待游客 = 6120.92万人次,江苏省文化和旅游厅,江苏省2025年春节旅游数据,2025,http://www.jiangsu.gov.cn/art/2025/2/5/art_84323_11484470.html,江苏文旅厅：2025春节接待游客6120.92万人次(+10.3%)，旅游总收入490.24亿元(+11.1%),snapshots/江苏省文化和旅游厅_江苏接待游客.html,L1,入库L1,R1,否
2025 春节 河南,2026-08-28-R1,河南接待游客 = 5117.4万人次,河南省文化和旅游厅,河南省2025年春节旅游数据,2025,https://www.hncia.cn/notice-247.html,河南文旅厅：2025春节接待游客5117.4万人次(+1.9%)，旅游收入305.3亿元(+2.6%),snapshots/河南省文化和旅游厅_河南接待游客.html,L1,入库L1,R1,否
