检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2024 五一 出游,2026-08-28-R1,国内旅游出游人数 = 2.95亿人次,文化和旅游部,2024年五一假期文化和旅游市场情况,2024,https://www.mct.gov.cn/whzx/whyw/202405/t20240506_952682.htm,文旅部：2024五一国内出游2.95亿人次(+7.6%),snapshots/文化和旅游部_国内旅游出游人数.html,L1,入库L1,R1,否
2024 五一 收入,2026-08-28-R1,国内游客出游总花费 = 1668.9亿元,文化和旅游部,2024年五一假期文化和旅游市场情况,2024,https://www.mct.gov.cn/whzx/whyw/202405/t20240506_952682.htm,文旅部：2024五一出游总花费1668.9亿元(+12.7%),snapshots/文化和旅游部_国内游客出游总花费.html,L1,入库L1,R1,否
2024 五一 流动,2026-08-28-R1,全社会跨区域人员流动量 = 135846.27万人次,交通运输部,五一假期交通运输数据,2024,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,交通运输部：五一全社会跨区域人员流动量135846.27万人次(+2.1%),snapshots/交通运输部_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2024 五一 铁路,2026-08-28-R1,铁路客运量 = 9176.5万人次,国铁集团,五一假期铁路运输数据,2024,https://www.gov.cn/yaowen/liebiao/202405/content_6949645.htm,国铁集团：五一铁路客运量9176.5万人次(+1.4%),snapshots/国铁集团_铁路客运量.html,L1,入库L1,R1,否
2024 五一 民航,2026-08-28-R1,民航客运量 = 997.1万人次,民航局,五一假期民航运输数据,2024,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,交通运输部：五一民航客运量997.1万人次(+8.1%),snapshots/民航局_民航客运量.html,L1,入库L1,R1,否
2024 五一 社零,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 6.8%,商务部,五一假日消费数据,2024,https://www.gov.cn/yaowen/shipin/202405/content_6949442.htm,商务部：五一全国重点零售和餐饮企业销售额+6.8%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2024 五一 商圈,2026-08-28-R1,36城重点商圈客流量增速 = 15.1%,商务部,五一消费新特点,2024,https://www.chinanews.com.cn/cj/2024/05-09/10213772.shtml,商务部：36个大中城市重点商圈客流量+15.1%,snapshots/商务部_36城重点商圈客流量增速.html,L1,入库L1,R1,否
2024 五一 支付,2026-08-28-R1,银联网联处理支付交易笔数 = 234.39亿笔,中国人民银行,五一假期支付交易数据,2024,https://app.xinhuanet.com/news/article.html?articleId=dac781142ef4414fa13f5d557d20d7bb,央行：五一银联网联处理支付交易234.39亿笔、7.64万亿元,snapshots/中国人民银行_银联网联处理支付交易笔数.html,L1,入库L1,R1,否
2024 五一 贵州 支付,2026-08-28-R1,贵州五一消费金额 = 209.42亿元,银联商务,贵州省五一消费数据,2024,http://gz.news.cn/20240507/50acd346d5db4966ac852d14040c0957/c.html,银联商务：贵州五一消费金额209.42亿元(+6.71%),snapshots/银联商务_贵州五一消费金额.html,L1,入库L1,R1,否
2024 五一 美团 餐饮,2026-08-28-R1,美团餐饮堂食订单量增速 = 73%,美团,五一消费市场观察,2024,https://www.meituan.com/news/NN240506050009720,美团：五一前三天全国餐饮堂食订单量+73%。平台自身口径,snapshots/美团_美团餐饮堂食订单量增速.html,L1,入库L1,R1,否
