主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,全国营业性客运日均发送量,5403.8,万人次,总量,日均,2023-04-29,2023-04-29至2023-05-03(5天),日均口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,全国铁路公路水路民航预计发送旅客总量,27019,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部(新华社转引),“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,公路预计发送旅客,16309,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,小客车流量累计,28138.21,万辆次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通流量,实测,实际,2022同期,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,民航预计发送旅客,941.5,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,水路预计发送旅客,680.4,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,铁路预计发送旅客,9088.1,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
交通出行,高速公路流量累计,31045.94,万辆次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通流量,实测,实际,2022同期,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
政策与宏观,全国示范步行街客流量/营业额同比,+121.4/+87.6,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,复合,2026-08-21,无,商务部,假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml,客流量+121.4% 营业额+87.6%
政策与宏观,全国重点零售和餐饮企业销售额同比,+18.9,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,商务部(商务大数据监测),假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml
政策与宏观,微信零售/交通/餐饮/酒旅较2019日均,+212/+198/+187/+93,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,平台披露,实际,2019同期,5,复合,2026-08-21,无,微信支付,2023“五一”游玩井喷数据报告,2023-05-04,C,https://k.sina.cn/article_1617264814_606580ae02001mvgj.html,平台口径; 增幅区间93%-212%
政策与宏观,支付宝假期前3天支付笔数/消费金额同比,+230/+200(较2022) /+70(较2019),复合,复合,2023-04-29,2023-04-29至2023-05-01(前3天),3天口径,零售餐饮,平台披露,实际,2022/2019同期,3,复合,2026-08-21,无,支付宝,支付宝“五一”消费洞察,2023-05-03,C,https://www.bbtnews.com.cn/2023/0504/474755.shtml,平台口径; 前3天
政策与宏观,消费相关行业销售收入同比(增值税发票),+24.4,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,国家税务总局,供需互促 市场潜力大韧性强(央视网),2023-05-05,A,https://news.cctv.com/2023/05/05/ARTIiBxEgnbSjhoxLOu0EWKE230505.shtml
政策与宏观,重点餐饮企业销售额同比,+57.9,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,商务部,假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml
政策与宏观,限额以上品类同比(石油/汽车/通信/家电/金银/服装/化妆品),+24.4/+20.9/+20.1/+13.9/+22.8/+18.4/+16.5,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,复合,2026-08-21,无,商务部,假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml,石油24.4 汽车20.9 通信20.1 家电13.9 金银珠宝22.8 服装18.4 化妆品16.5
旅游行业平台,携程出境游整体订单同比,+近7倍,倍数,倍数,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2022同期,5,倍数,2026-08-21,无,携程,2023年五一出游数据报告,2023-05-04,C,https://www.cnr.cn/tech/techph/20230504/t20230504_526239695.shtml,平台口径; 非全市场
旅游行业平台,携程出游半径同比,+25,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,2022同期,5,2026-08-21,增速,无,携程,2023年五一出游数据报告,2023-05-04,C,https://www.cnr.cn/tech/techph/20230504/t20230504_526239695.shtml
旅游行业平台,飞猪国内游预订量较春节,+翻倍(约+100),%,比率,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,春节,5,增速,2026-08-21,无,飞猪,长线游带动“吃住行游购娱”复苏(中国经济网),2023-05-04,C,https://www.ce.cn/cysc/newmain/yc/jsxw/202305/04/t20230504_38529448.shtml,平台口径
旅游行业平台,飞猪国内酒店/火车票较春节,+95/+117,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,春节,5,复合,2026-08-21,无,飞猪,长线游带动“吃住行游购娱”复苏(中国经济网),2023-05-04,C,https://www.ce.cn/cysc/newmain/yc/jsxw/202305/04/t20230504_38529448.shtml,平台口径; 酒店+95% 火车票+117%
旅行社,携程国内跟团游订单同比,+11倍,倍数,倍数,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,2022同期,5,倍数,2026-08-21,无,携程,2023年五一出游数据报告,2023-05-04,C,https://www.workercn.cn/c/2023-05-04/7825203.shtml,平台口径
旅行社,途牛4-5天行程占比,38,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,无,5,2026-08-21,占比,无,途牛旅游网,2023五一出游消费盘点(新华网),2023-05-04,C,https://www.xinhuanet.com/travel/20230504/073b7789c5324be5bfb89ccc69b7875e/c.html
旅行社,途牛长线游/周边游占比,47/41,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,无,5,复合,2026-08-21,无,途牛旅游网,2023五一出游消费盘点(新华网),2023-05-04,C,https://www.xinhuanet.com/travel/20230504/073b7789c5324be5bfb89ccc69b7875e/c.html,平台口径; 长线47% 周边41%
景区数据,2022五一国内旅游收入,646.8,亿元,总量,2022-04-30,2022-04-30至2022-05-04(5天),5天口径,旅游收入,实测,实际,2021同期,5,水平值,2026-08-21,无,文化和旅游部,2022年“五一”假期国内旅游出游1.6亿人次,2022-05-04,A,https://www.mct.gov.cn/whzx/whyw/202205/t20220504_932779.htm,同比-42.9%; 恢复2019 44.0%
景区数据,2022五一日均旅游收入(测算),129.36,亿元/天,日均,2022-04-30,2022-04-30至2022-05-04(5天),日均口径,旅游收入,测算,推算,2021同期,5,水平值,2026-08-21,缺口-测算,测算(=646.8亿/5天),派生,2022-05-04,D,https://www.mct.gov.cn/whzx/whyw/202205/t20220504_932779.htm,"测算值,D级"
景区数据,2023五一日均旅游收入(测算),296.11,亿元/天,日均,2023-04-29,2023-04-29至2023-05-03(5天),日均口径,旅游收入,测算,推算,2022同期,5,水平值,2026-08-21,缺口-测算,测算(=1480.56亿/5天),派生,2023-05-03,D,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm,"测算值,D级"
景区数据,2023端午国内旅游收入(预测),中心值约1000(区间900-1100),亿元,总量,预计2023-06-22,预计2023-06-22至2023-06-24(3天),3天口径(待回填),旅游收入,测算,预计,无,3,水平值,2026-08-21,预判待回填,基于五一强势延续的分析预判,2023端午预测台账,2023-05-04,D,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm,"预测ID=2023端午-F02; 置信度中; 与五一天数不同,须per-day折算后比"
景区数据,A级旅游景区正常开放数,1.28,万家,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,景区供给,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,国内旅游收入(旅游总花费),1480.56,亿元,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,旅游收入,实测,实际,2022同期,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,国内旅游收入同比,+128.90,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,旅游收入,实测,实际,2022同期,5,2026-08-21,增速,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,国内旅游收入恢复至2019同期,100.66,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),2019可比口径,旅游收入,实测,实际,2019同期,5,2026-08-21,占比,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,国家级夜间文旅消费集聚区夜间客流量,7768.6,万人次,总量,总量,2023-04-28 18:00至2023-05-03 06:00,夜间口径,夜间口径,景区供给,实测,实际,2022同期,5,2026-08-21,水平值,无,文化和旅游部数据监测,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm
景区数据,群众文化活动参与人次,1.66,亿人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,文娱演出,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,群众文化活动场次,4.75,万场,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,文娱演出,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,营业性演出场次,3.11,万场次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,文娱演出,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,营业性演出票房收入,15.19,亿元,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,文娱演出,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
景区数据,营业性演出观演人数,865.49,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,文娱演出,实测,实际,无,5,2026-08-21,水平值,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://mct.gov.cn/whzx/whyw/202305/t20230503_943504.htm
游客画像,2022五一出游恢复至2019(复合),66.8/44.0,复合,复合,2022-04-30,2022-04-30至2022-05-04(5天),2019可比口径,出游规模,实测,实际,2019同期,5,复合,2026-08-21,无,文化和旅游部,2022年“五一”假期国内旅游出游1.6亿人次,2022-05-04,A,https://www.mct.gov.cn/whzx/whyw/202205/t20220504_932779.htm,人次恢复66.8% 收入恢复44.0%
游客画像,2022五一国内旅游出游人次,1.6,亿人次,总量,2022-04-30,2022-04-30至2022-05-04(5天),5天口径,出游规模,实测,实际,2021同期,5,水平值,2026-08-21,无,文化和旅游部,2022年“五一”假期国内旅游出游1.6亿人次,2022-05-04,A,https://www.mct.gov.cn/whzx/whyw/202205/t20220504_932779.htm,同比-30.2%; 恢复2019 66.8%
游客画像,2022五一日均出游人次(测算),0.320,亿人次/天,日均,2022-04-30,2022-04-30至2022-05-04(5天),日均口径,出游规模,测算,推算,2021同期,5,水平值,2026-08-21,缺口-测算,测算(=1.6亿/5天),派生,2022-05-04,D,https://www.mct.gov.cn/whzx/whyw/202205/t20220504_932779.htm,"测算值,D级"
游客画像,2023五一日均出游人次(测算),0.548,亿人次/天,日均,2023-04-29,2023-04-29至2023-05-03(5天),日均口径,出游规模,测算,推算,2022同期,5,水平值,2026-08-21,缺口-测算,测算(=2.74亿/5天),派生,2023-05-03,D,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm,"测算值,D级"
游客画像,2023全年国内旅游出游人次(中长期预测),有望突破50亿(区间48-54),亿人次,总量,预计2023全年,2023全年口径(待回填),全年口径(待回填),出游规模,测算,预计,无,365,水平值,2026-08-21,预判待回填,基于报复性出游退潮后稳态+免签扩容的分析预判,2023全年预测台账,2023-05-04,D,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm,预测ID=2023全年-F01; 置信度中低; 拐点判据:暑期/十一是否延续双位数增速
游客画像,2023端午国内旅游出游人次(预测),中心值约2.5(区间2.3-2.7),亿人次,总量,预计2023-06-22,预计2023-06-22至2023-06-24(3天),3天口径(待回填),出游规模,测算,预计,无,3,水平值,2026-08-21,预判待回填,基于五一强势延续与暑期临近的分析预判,2023端午预测台账,2023-05-04,D,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm,"预测ID=2023端午-F01; 置信度中; 与五一天数不同,须per-day折算后比"
游客画像,"人均旅游消费(per-trip,测算)",540.2,元/人次,人均trip,人均trip,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,旅游收入,测算,推算,2022同期,5,2026-08-21,水平值,缺口-测算,测算(=1480.56亿元/2.74亿人次),派生自文旅部数据,2023-05-03,D,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm
游客画像,"人均旅游消费同比(测算,per-trip)",+33.6,%,比率,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,旅游收入,测算,推算,2022同期,5,增速,2026-08-21,缺口-测算,测算(540.2 vs 404.25元),派生,2023-05-03,D,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm,=1480.56/2.74 较 646.8/1.6; 测算D级
游客画像,停留2天以上游客占比提升,9.55,个百分点,总量,百分点,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,占比,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
游客画像,国内旅游出游人次,2.74,亿人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,水平值,无,文化和旅游部(新华社转引),2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm
游客画像,国内旅游出游人次同比,+70.83,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,增速,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm
游客画像,国内旅游出游人次恢复至2019同期,119.09,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),2019可比口径,出游规模,实测,实际,2019同期,5,2026-08-21,占比,无,文化和旅游部,2023年“五一”假期文化和旅游市场情况,2023-05-03,A,https://www.gov.cn/lianbo/2023-05/03/content_5754040.htm
游客画像,平均出游半径,180.82,公里,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,水平值,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
游客画像,平均出游半径同比,+81.59,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,增速,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
游客画像,目的地平均游憩半径,15.98,公里,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,水平值,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
游客画像,目的地平均游憩半径同比,+167.16,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,增速,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
游客画像,跨省游客比例,24.50,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,出游规模,实测,实际,2022同期,5,2026-08-21,占比,无,中国旅游研究院,强势复苏 体验升级——2023年“五一”假期旅游市场观察(新华社),2023-05-04,B,https://www.gov.cn/yaowen/2023-05/04/content_5754162.htm
跨境,出境游整体订单/机票/酒店同比(较2022),+近7倍/+900%/+450%,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2022同期,5,复合,2026-08-21,无,携程,"长线游热门,出境游订单同比增长近7倍(中工网)",2023-05-04,C,https://www.workercn.cn/c/2023-05-04/7825203.shtml,平台口径
跨境,同程国际酒店预订量(较2019),超2019同期,定性,定性,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2019同期,5,定性,2026-08-21,无,同程旅行,假期大数据(环球网财经),2023-05-04,C,https://capital.huanqiu.com/article/4CknfUPcLgy,平台口径
跨境,微信支付境外日均线下消费笔数/金额较2019,+88/+75,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2019同期,5,复合,2026-08-21,无,微信支付,2023“五一”游玩井喷数据报告,2023-05-04,C,https://k.sina.cn/article_1617264814_606580ae02001mvgj.html,平台口径
跨境,支付宝出境游人均消费较2019,+40,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2019同期,5,2026-08-21,增速,无,支付宝,支付宝“五一”消费洞察,2023-05-04,C,https://www.bbtnews.com.cn/2023/0504/474755.shtml
酒店,万豪大中华区Q1 RevPAR恢复2019,95,%,总量,总量,2023-04-29,2023-01-01至2023-03-31(一季度),季度口径,住宿,平台披露,实际,2019同期,5,2026-08-21,占比,无,万豪国际集团,新京报贝壳财经,2023-05-08,C,https://www.bjnews.com.cn/detail/1683530877168743.html
酒店,上海宾馆旅馆平均客房出租率,71,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,住宿,实测,实际,2019同期,5,2026-08-21,水平值,无,上海市文化和旅游局,证券时报转引假期大数据,2023-05-04,B,https://capital.huanqiu.com/article/4CknfUPcLgy
