主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国内出游人次,8.88,亿人次,文化和旅游部,2025年国庆中秋假期文化和旅游市场情况,2025-10-09,A,https://www.mct.gov.cn/whzx/whyw/202510/t20251009_962532.htm,较2024年7天+1.23亿,8,官方总量,无(水平值),8天 (含中秋),水平值,2025-10-13,
总体,国内游客花费,8090.06,亿元,文化和旅游部,2025年国庆中秋假期文化和旅游市场情况,2025-10-09,A,https://www.mct.gov.cn/whzx/whyw/202510/t20251009_962532.htm,较2024年7天+1081.89亿,8,官方总量,无(水平值),8天 (含中秋),水平值,2025-10-13,
政策宏观,重点零售和餐饮企业销售额同比,+2.7,%,商务部,国庆中秋假期消费数据,2025-10-09,A,https://dzswgf.mofcom.gov.cn/news/phone/43/2025/10/m-1759989298238.html,重点监测企业,8,官方重点监测,同比,8天 (含中秋),水平值,2025-10-13,
政策宏观,重点步行街客流量同比,+8.8,%,商务部,国庆中秋假期消费数据,2025-10-09,A,https://dzswgf.mofcom.gov.cn/news/phone/43/2025/10/m-1759989298238.html,,8,官方总量,同比,8天 (含中秋),水平值,2025-10-13,
政策宏观,重点步行街营业额同比,+6.0,%,商务部,国庆中秋假期消费数据,2025-10-09,A,https://dzswgf.mofcom.gov.cn/news/phone/43/2025/10/m-1759989298238.html,,8,官方总量,同比,8天 (含中秋),水平值,2025-10-13,
平台,国庆档电影票房,17.9,亿元,国家电影局（商务部转引）,国庆中秋假期消费数据,2025-10-09,A,https://dzswgf.mofcom.gov.cn/news/phone/43/2025/10/m-1759989298238.html,超17.9亿,8,官方总量,无(水平值),8天 (含中秋),水平值,2025-10-13,
交通,铁路发送旅客,2.13,亿人次,国家铁路集团,国庆中秋铁路客运,2025-10-13,A,http://www.china-railway.com.cn/xwzx/mtjj/gmrb/gmrb/202510/t20251013_149227.html,日均+8.6%,8,官方跨区域(含自驾),无(水平值),8天 (含中秋),水平值,2025-10-13,
交通,铁路单日峰值(10月1日),2313.2,万人次,国家铁路集团,国庆中秋铁路客运,2025-10-13,A,http://www.china-railway.com.cn/xwzx/mtjj/gmrb/gmrb/202510/t20251013_149227.html,创历史纪录,8,官方跨区域(含自驾),无(水平值),8天 (含中秋),水平值,2025-10-13,
交通,民航客运量,1913.8,万人次,民航局,国庆中秋民航数据,2025-10,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202510/content_7043777.htm,日均+3.2%,8,官方跨区域(含自驾),无(水平值),8天 (含中秋),水平值,2025-10-13,
交通,民航客座率,87.9,%,民航局,国庆中秋民航数据,2025-10,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202510/content_7043777.htm,,8,官方跨区域(含自驾),无(水平值),8天 (含中秋),水平值,2025-10-13,
交通,跨区域人员流动量,24.32,亿人次,交通运输部,国庆中秋交通数据,2025-10-09,A,https://cjhy.mot.gov.cn/xw/slxw/202510/t20251009_461749.shtml,日均+6.2%,8,官方跨区域(含自驾),无(水平值),8天 (含中秋),水平值,2025-10-13,
游客画像,出入境人员,1634.3,万人次,国家移民管理局,国庆中秋出入境数据,2025-10,A,https://www.nia.gov.cn/n741440/n741567/c1745818/content.html,同比+11.5%,8,待核,同比,8天 (含中秋),增长率,2025-10-13,
游客画像,外国人出入境,143.4,万人次,国家移民管理局,国庆中秋出入境数据,2025-10,A,https://www.nia.gov.cn/n741440/n741567/c1745818/content.html,同比+21.6%,8,待核,同比,8天 (含中秋),增长率,2025-10-13,
游客画像,免签入境外国人,53.5,万人次,国家移民管理局,国庆中秋出入境数据,2025-10,A,https://www.nia.gov.cn/n741440/n741567/c1745818/content.html,同比+46.8%,8,待核,同比,8天 (含中秋),增长率,2025-10-13,
景区,黄山景区接待量,421.24,万人次,黄山风景区管委会（今日头条转引）,国庆中秋黄山接待数据,2025-10,B,https://www.toutiao.com/article/7558875649750942254/,同比+11.41%,8,待核,同比,8天 (含中秋),增长率,2025-10-13,
平台,携程长途游订单占比同比,+3,个百分点,携程,2025国庆中秋旅游报告,2025-10-09,C,https://news.china.com.cn/2025-10/09/content_118113831.html,较去年,8,平台自披露,同比,8天 (含中秋),水平值,2025-10-13,
平台,飞猪客单价同比,+14.6,%,飞猪,2025国庆中秋旅游报告,2025-10-09,C,https://news.china.com.cn/2025-10/09/content_118113831.html,,8,平台自披露,同比,8天 (含中秋),水平值,2025-10-13,
平台,同程酒店预订同比,+65,%,同程旅行,2025国庆中秋旅游报告,2025-10-09,C,https://news.china.com.cn/2025-10/09/content_118113831.html,,8,平台自披露,同比,8天 (含中秋),水平值,2025-10-13,
目的地,北京接待游客,2509.4,万人次,北京市文化和旅游局,国庆中秋北京文旅数据,2025-10-09,A,https://www.news.cn/fortune/20251008/727422f7cb2a4066955030988be90106/c.html,同比+3.6%,8,官方总量,同比,8天 (含中秋),增长率,2025-10-13,
目的地,北京旅游总花费,316.5,亿元,北京市文化和旅游局,国庆中秋北京文旅数据,2025-10-09,A,https://www.news.cn/fortune/20251008/727422f7cb2a4066955030988be90106/c.html,同比+4.7%,8,官方总量,同比,8天 (含中秋),增长率,2025-10-13,
目的地,上海接待游客,2548.5,万人次,上海市文化和旅游局,国庆中秋上海文旅数据,2025-10-09,A,https://shanghai.gov.cn/nw31406/20251009/d3a47b3160214af28f1a60ff35f1d9ab.html,同比+19.74%,8,官方总量,同比,8天 (含中秋),增长率,2025-10-13,
目的地,上海宾馆旅馆客房出租率,63.70,%,上海市文化和旅游局,国庆中秋上海文旅数据,2025-10-09,A,https://shanghai.gov.cn/nw31406/20251009/d3a47b3160214af28f1a60ff35f1d9ab.html,同比+3.9个百分点,8,官方总量,同比,8天 (含中秋),增长率,2025-10-13,
目的地,广东接待游客,6517.6,万人次,广东省文化和旅游厅,国庆中秋广东文旅数据,2025-10,A,https://www.gd.gov.cn/zwgk/zdlyxxgkzl/whjg/content/post_4781717.html,较2024年7天+11.5%,8,官方总量,无(水平值),8天 (含中秋),水平值,2025-10-13,
目的地,广东旅游收入,613.2,亿元,广东省文化和旅游厅,国庆中秋广东文旅数据,2025-10,A,https://www.gd.gov.cn/zwgk/zdlyxxgkzl/whjg/content/post_4781717.html,同比+14.2%,8,官方总量,同比,8天 (含中秋),增长率,2025-10-13,
目的地,成都接待游客,2862.3,万人次,成都市文化和旅游局,国庆中秋成都文旅数据,2025-10-09,A,https://www.chengdu.gov.cn/cdsrmzf/c169603/2025-10/09/content_373a4eccf22948218e45050c1de6af0d.shtml,按可比口径+5.3%,8,待核,无(水平值),8天 (含中秋),水平值,2025-10-13,
目的地,成都旅游总花费,293.5,亿元,成都市文化和旅游局,国庆中秋成都文旅数据,2025-10-09,A,https://www.chengdu.gov.cn/cdsrmzf/c169603/2025-10/09/content_373a4eccf22948218e45050c1de6af0d.shtml,同比+13.4%,8,待核,同比,8天 (含中秋),增长率,2025-10-13,
热门新消费,美团县域游订单同比,+51,%,美团（新华网客户端转引）,2025国庆中秋消费报告,2025-10,C,https://app.xinhuanet.com/news/article.html?articleId=7cbc99b699c628091a8e398030b20bdd,反向旅游/县域游；银发游多平台提及升温（无精确量化值）,8,平台自披露,同比,8天 (含中秋),水平值,2025-10-13,
