主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国内出游人次,3.25,亿人次,文化和旅游部,2026年“五一”假期文化和旅游市场情况,2026-05-06,A,https://www.mct.gov.cn/preview/whzx/whyw/202605/t20260506_965708.htm,同比+3.6%,5,官方总量,同比,5天,增长率,2026-05-08,
总体,国内出游总花费,1854.92,亿元,文化和旅游部,2026年“五一”假期文化和旅游市场情况,2026-05-06,A,https://www.mct.gov.cn/preview/whzx/whyw/202605/t20260506_965708.htm,同比+2.9%,5,官方总量,同比,5天,增长率,2026-05-08,
游客画像,国家级夜间文旅消费集聚区客流量,8041.37,万人次,文化和旅游部,2026年“五一”假期文化和旅游市场情况,2026-05-06,A,https://www.mct.gov.cn/preview/whzx/whyw/202605/t20260506_965708.htm,同比+6.44%,5,官方总量,同比,5天,增长率,2026-05-08,
游客画像,营业性演出场次/票房,3.20万场/24.76亿,场/亿元,文化和旅游部,2026年“五一”假期文化和旅游市场情况,2026-05-06,A,https://www.mct.gov.cn/preview/whzx/whyw/202605/t20260506_965708.htm,票房同比+14.66%,5,官方总量,同比,5天,复合值,2026-05-08,
游客画像,入境游客,243,万人次,中国旅游研究院（央视网转引）,假日经济报道,2026-05-08,A,https://news.cctv.cn/2026/05/08/ARTIYnytQVzROQDAXgEYWqL3260508.shtml,同比+7.4%,5,官方总量,同比,5天,增长率,2026-05-08,
游客画像,群众文化活动场次/惠及,4.94万场/8800万,场/人次,文化和旅游部,2026年“五一”假期文化和旅游市场情况,2026-05-06,A,https://www.mct.gov.cn/preview/whzx/whyw/202605/t20260506_965708.htm,,5,官方总量,无(水平值),5天,复合值,2026-05-08,
交通,全社会跨区域人员流动量,15.25,亿人次,交通运输部（央视/证券时报转引）,五一假期出行数据,2026-05-06,A,https://epaper.stcn.com/con/202605/06/content_2921965.html,日均超3亿；同比+4%（xfrb另报15.17亿+3.49%）,5,官方跨区域(含自驾),同比,5天,增长率,2026-05-08,
交通,铁路客运量（4/29-5/6共8天）,1.58,亿人次,国铁集团,2026年五一铁路运输,2026-04-29,A,https://finance.people.com.cn/BIG5/n1/2026/0429/c1004-40711206.html,5月1日峰值预计2400万；12306累计售票8302万张,5,官方跨区域(含自驾),累计(窗口内),5天,水平值,2026-05-08,预判待回填
交通,民航客运量（预计）,1175,万人次,交通运输部,五一出行预测,2026-04-29,A,https://china.cnr.cn/news/20260429/t20260429_527605098.shtml,,5,官方跨区域(含自驾),无(水平值),5天,水平值,2026-05-08,预判待回填
交通,高速公路日均车流量,6400,万辆次,交通运输部,五一出行预测,2026-04-29,A,https://china.cnr.cn/news/20260429/t20260429_527605098.shtml,新能源车约1540万（同比+33%）；首日7000万辆次创新高,5,官方跨区域(含自驾),同比,5天,增长率,2026-05-08,
