主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,7月全国国内旅游人次,12.3,亿人次,文化和旅游部（财联社转引）,2026年全国暑期文化和旅游消费季,2026-07-29,A,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,同比+18.7%；创近五年同期新高,62,官方总量,同比,7.1-8.31,增长率,2026-08-14,
总体,7月全国旅游收入,超9200,亿元,文化和旅游部（财联社转引）,2026年全国暑期文化和旅游消费季,2026-07-29,A,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,创近五年同期新高,62,官方总量,无(水平值),7.1-8.31,水平值,2026-08-14,
政策宏观,全国暑期文旅消费季活动场次,超3万,场次,文化和旅游部,2026年全国暑期文化和旅游消费季,2026-07-29,A,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,发放消费券等补贴超4.5亿元,62,官方总量,无(水平值),7.1-8.31,水平值,2026-08-14,
政策宏观,暑期消费券等补贴,超4.5,亿元,文化和旅游部,2026年全国暑期文化和旅游消费季,2026-07-29,A,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,直接面向市场,62,官方总量,无(水平值),7.1-8.31,水平值,2026-08-14,
交通,暑运铁路预计发送旅客（7.1-8.31）,10.1,亿人次,国铁集团,2026年铁路暑运启动,2026-07-01,A,https://www.sina.cn/news/detail/5318429225521114.html,日均1629万人次；为期62天,62,官方跨区域(含自驾),无(水平值),7.1-8.31,水平值,2026-08-14,预判待回填
交通,暑运前半程铁路累计发送旅客（7.1-7.31）,4.32,亿人次,国铁集团（中国经营报转引）,2026年暑运上半场,2026-08-01,A,https://m.toutiao.com/article/7670764879455765055,各局：广州局5892.5万、成都局4381.9万、北京局3877.4万,62,官方跨区域(含自驾),累计(窗口内),7.1-8.31,水平值,2026-08-14,
交通,暑运民航旅客运输量预测,约1.42,亿人次,航班管家,2026暑运预测,2026-07-01,C,https://www.sina.cn/news/detail/5318429225521114.html,日均超228万人次；预计同比-3.6%,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2026-08-14,预判待回填
交通,7月民航客运量（单月）,7447.6,万人次,航班管家（中国经营报转引）,2026年暑运上半场,2026-08-01,C,https://m.toutiao.com/article/7670764879455765055,环比+30%；创单月历史纪录,62,官方跨区域(含自驾),环比,7.1-8.31,增长率,2026-08-14,
交通,7.1-7.28国内航线旅客运输量,超5635,万人次,航旅纵横,暑运上半场数据,2026-07-31,C,https://www.toutiao.com/article/7668697914289537588/,15-28日同比+6%,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2026-08-14,
交通,7.1-7.28出入境航线旅客运输量,超721,万人次,航旅纵横,暑运上半场数据,2026-07-31,C,https://www.toutiao.com/article/7668697914289537588/,15-28日同比+5%,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2026-08-14,
交通,公路自驾租车订单同比,近60,%,交通运输部（羊城晚报转引）,出游正当夏,2026-08,A,https://sp.ycwb.com/ikimvkltjc/content_54236994.htm,,62,官方跨区域(含自驾),同比,7.1-8.31,水平值,2026-08-14,
交通,暑运水路日均发送旅客,220,万人次,交通运输部（羊城晚报转引）,出游正当夏,2026-08,A,https://sp.ycwb.com/ikimvkltjc/content_54236994.htm,同比+4.76%,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2026-08-14,
酒店,飞猪酒店日均履约间夜增速（4月至今）,约50,%,飞猪（新浪科技转引）,暑期飞猪酒店,2026-08-12,C,https://finance.sina.com.cn/tech/shenji/2026-08-12/doc-inimzivr6942798.shtml,8月上旬近70%,62,平台自披露,无(水平值),7.1-8.31,水平值,2026-08-14,
酒店,去哪儿20度清凉圈酒店预订量同比,超50,%,去哪儿,2026暑期酒店数据,2026-07-21,C,https://www.toutiao.com/article/7664997979975172642/,避暑主导,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
酒店,去哪儿国内酒店预订量TOP1城市,北京,位,去哪儿,2026暑期酒店数据,2026-07-21,C,https://www.toutiao.com/article/7664997979975172642/,上海、成都、青岛、广州、重庆、杭州、贵阳、深圳、南京,62,平台自披露,无(水平值),7.1-8.31,水平值,2026-08-14,
酒店,同程5晚及以上长住订单占比同比,+8,个百分点,同程旅行,2026避暑游趋势报告,2026-07-17,C,https://finance.sina.com.cn/jjxw/2026-08-10/doc-inimukzv1432598.shtml,平均出游天数延长2.3天,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
酒店,县域酒店预订覆盖,2797,个县域,去哪儿/小红书,2026暑期旅行趋势报告,2026-08-12,C,https://so.html5.qq.com/page/real/search_news?docid=70000021_7116a7bb32571052,部分县域增幅超500%,62,平台自披露,无(水平值),7.1-8.31,水平值,2026-08-14,
游客画像,飞猪暑期旅游热度同比,超40,%,飞猪,2026暑期出游风向标,2026-07-02,C,https://www.hkcna.hk/docDetail.jsp?id=101343398&channel=5524,亲子+31%、大学生+58%,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
游客画像,携程亲子游客预订人次同比,+13.6,%,携程研究院,2026暑期预测,2026-06,C,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
游客画像,马蜂窝暑期出游搜索环比,+238,%,马蜂窝,2026暑期,2026-06,C,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,亲子游+166%,62,平台自披露,环比,7.1-8.31,水平值,2026-08-14,
景区,小红书去班味小城话题浏览量,5.6,亿次,小红书/去哪儿,2026暑期旅行趋势报告,2026-08-12,C,https://so.html5.qq.com/page/real/search_news?docid=70000021_7116a7bb32571052,假期反向旅行搜索+287%,62,平台自披露,无(水平值),7.1-8.31,水平值,2026-08-14,
景区,贵州六盘水酒店订单同比,暴增1100,%,携程（新浪转引）,赴黔纳凉,2026-08-10,C,https://finance.sina.com.cn/jjxw/2026-08-10/doc-inimukzv1432598.shtml,贵州全省民宿+约三成居首,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
景区,贵州全省民宿预订同比,约三成,%,途家,赴黔纳凉,2026-08-10,C,https://finance.sina.com.cn/jjxw/2026-08-10/doc-inimukzv1432598.shtml,增速居全国省级首位,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
目的地,上海口岸暑运出入境旅客（7.1-8.4）,超400,万人次,上海边检总站（中新社）,上海口岸跨境游,2026-08-05,A,https://www.toutiao.com/article/7670377739681055247,日均11.7万；7月出境内地116.7万(+24.2%)；入境外籍46.7万(+19.4%),62,待核,无(水平值),7.1-8.31,水平值,2026-08-14,
目的地,广州白云口岸暑运出入境（截至7.31）,超161,万人次,广州边检（中新社）,白云机场口岸,2026-07-31,A,https://www.chinanews.com/sh/2026/07-31/10670149.shtml,同比+13.7%；入境外籍超30万(+50.4%),62,待核,同比,7.1-8.31,增长率,2026-08-14,
目的地,杭州口岸出入境（截至8.14）,突破300,万人次,杭州边检（央视）,China Travel升温,2026-08-14,A,https://so.html5.qq.com/page/real/search_news?docid=70000021_1306a7edfbc04152,入境外籍超27万(+12%)；免签超16万(+20%),62,官方总量,无(水平值),7.1-8.31,水平值,2026-08-14,
出入境,上半年全国查验出入境人员,3.69,亿人次,国家移民管理局,2026上半年移民管理,2026-07,B,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,+10.8%；创历史新高,62,待核,无(水平值),7.1-8.31,水平值,2026-08-14,
出入境,上半年入境外籍人员,2291.4,万人次,国家移民管理局,2026上半年移民管理,2026-07,A,https://new.qq.com/rain/a/20260729A02MQD00?refer=cp_1009,+20.4%；免签入境1781.5万(+30.6%)占比77.7%,62,待核,无(水平值),7.1-8.31,水平值,2026-08-14,
出入境,7月以来出境游服务预订量同比,+108,%,飞猪,2026暑期出游风向标,2026-07-02,C,https://www.hkcna.hk/docDetail.jsp?id=101343398&channel=5524,入境游近一周+超6倍,62,平台自披露,同比,7.1-8.31,增长率,2026-08-14,
平台,县域租车热度同比,超75,%,同程旅行（去哪儿报告转引）,2026暑期旅行趋势报告,2026-08-12,C,https://so.html5.qq.com/page/real/search_news?docid=70000021_7116a7bb32571052,奔县游产品+63%,62,平台自披露,同比,7.1-8.31,水平值,2026-08-14,
