主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,全社会跨区域人员流动量,230684.5,万人次,水平值,2025-01-28~2025-02-04,8天,2025综合运输春运工作专班口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,同比,8,水平值,2026-08-21,,2025年综合运输春运工作专班(交通运输部),春节假期跨区域人员流动量超23亿人次,2025-02-05,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250205_4163673.html,约23.07亿人次;较2024年同期+6%;含自驾
交通出行,公路人员流动量,218293,万人次,水平值,2025-01-28~2025-02-04,8天,2025综合运输春运工作专班口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,同比,8,水平值,2026-08-21,,2025年综合运输春运工作专班,新华视点:透视2025年春节新气象,2025-02-06,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250206_4163750.html,含自驾;与铁/民/水客运量口径不同不可加总
交通出行,小型客车免费通行天数,8,天,水平值,2025-01-28~2025-02-04,8天,官方免通政策口径,官方总量,官方总量,实际,无(水平值),8,水平值,2026-08-21,,交通运输部(中国政府网),2025年春节假期小客车上高速继续免收通行费,2025-01-21,A,https://www.gov.cn/lianbo/bumen/202501/content_7000196.htm,免费通行时段1月28日0时至2月4日24时共8天
交通出行,春运40天全社会跨区域人员流动量,90.25,亿人次,水平值,2025-01-14~2025-02-22,40天,2025综合运输春运工作专班口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,无(水平值),8,水平值,2026-08-21,,2025年综合运输春运工作专班(交通运输部),春运40天全社会跨区域人员流动量预计达90.25亿人次,2025-02-24,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250224_4164651.html,预计值;创历史新高
交通出行,民航客运量,1824.2,万人次,水平值,2025-01-28~2025-02-04,8天,中国民航局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,8,水平值,2026-08-21,,中国民用航空局(交通运输部春运专班),新华视点:透视2025年春节新气象,2025-02-06,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250206_4163750.html,营业性客运口径
交通出行,水路客运量,941.3,万人次,水平值,2025-01-28~2025-02-04,8天,2025综合运输春运工作专班口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,8,水平值,2026-08-21,,2025年综合运输春运工作专班,新华视点:透视2025年春节新气象,2025-02-06,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250206_4163750.html,营业性客运口径
交通出行,铁路客运量,9626,万人次,水平值,2025-01-28~2025-02-04,8天,国铁集团口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,8,水平值,2026-08-21,,中国国家铁路集团(交通运输部春运专班),新华视点:透视2025年春节新气象,2025-02-06,A,https://www.mot.gov.cn/zhuanti/2025chunyun/chunyunbaodao/202502/t20250206_4163750.html,营业性客运口径不含自驾
前瞻预测,2026春节国内出游人次(预计),5.7,亿人次,水平值,2026-02-17~2026-02-25,9天,预测台账-春节F03,预计,预测,预计,无(水平值),预计9天,增长率,2026-08-21,预判待回填,预测值(由2025春节外推),本报告预测台账,2026-08-21,D,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,预测ID=2025春节-F03;区间5.5-5.9亿;2026春节预计9天超长;D级预计
前瞻预测,五一国内出游人次(预计),3.0,亿人次,水平值,2025-05-01~2025-05-05,5天,预测台账-春节F01,预计,预测,预计,无(水平值),预计9天,增长率,2026-08-21,预判待回填,预测值(由2025春节外推),本报告预测台账,2026-08-21,D,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,预测ID=2025春节-F01;区间2.9-3.2亿;参考2024五一2.95亿;D级预计
前瞻预测,五一国内出游总花费(预计),3550,亿元,水平值,2025-05-01~2025-05-05,5天,预测台账-春节F02,预计,预测,预计,无(水平值),预计9天,增长率,2026-08-21,预判待回填,预测值(由2025春节外推),本报告预测台账,2026-08-21,D,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,预测ID=2025春节-F02;区间3400-3700亿;人均略升;D级预计
