主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,民航客运量,563,万人次,人次,2025-05-31 至 2025-06-02,3天,3天口径,民航客运量,官方跨区域(含自驾),实际,无(水平值),3,水平值,2025-06-04,空,民航局,,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,
交通出行,跨区域人员流动量,6.376,亿人次,人次,2024-06-08 至 2024-06-10,3天,2024年3天口径,公路人员流动量,官方跨区域(含自驾),实际,较2019,3,水平值,2024-06-13,空,交通运输部(央广网转引),,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均2.125亿，较2019+16.6%；去年同期基准；63761.6万=6.376亿
交通出行,跨区域人员流动量,14.65,亿人次,人次,2025-05-01 至 2025-05-05,5天,5天口径,公路人员流动量,官方跨区域(含自驾),实际,较节假日X,5,水平值,2025-05-09,空,交通运输部,,2025-05,A,https://so.html5.qq.com/page/real/search_news?docid=70000021_1766819de6905852,同比+7.9%；本年上期(2025五一)
交通出行,跨区域人员流动量,6.537,亿人次,人次,2025-05-31 至 2025-06-02,3天,3天口径,公路人员流动量,官方跨区域(含自驾),实际,同比,3,水平值,2025-06-04,空,交通运输部,,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,同比+2.5%（65370万人次）；含自驾，非公共客运量
交通出行,铁路客运量,4604.7,万人次,人次,2024-06-08 至 2024-06-10,3天,2024年3天口径,铁路客运量,官方跨区域(含自驾),实际,较2019,3,水平值,2024-06-13,空,交通运输部(央广网转引),,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均1534.9万，较2019+18.6%；去年同期基准
交通出行,铁路客运量,1.51,亿人次,人次,2025-05-01 至 2025-05-05,5天,5天口径,铁路客运量,官方跨区域(含自驾),实际,较节假日X,5,水平值,2025-05-09,空,国家铁路集团,,2025-05,A,https://www.gov.cn/yaowen/liebiao/202505/content_7022797.htm,同比+10.6%；本年上期(2025五一)
交通出行,铁路客运量,4803,万人次,人次,2025-05-31 至 2025-06-02,3天,3天口径,铁路客运量,官方跨区域(含自驾),实际,无(水平值),3,水平值,2025-06-04,空,国家铁路集团,,2025-06-03,A,https://www.chinanews.com/cj/2025/06-03/10426402.shtml,
平台渠道,携程亲子订单占比,25,%,%,2025-05-31 至 2025-06-02,3天,3天口径,平台GMV,平台自披露,实际,无(水平值),3,水平值,2025-06-04,空,携程,,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,平台自身口径，非全市场；亲子订单占整体
平台渠道,携程入境游订单同比,+130,%,%,2025-05-01 至 2025-05-05,5天,5天口径,平台GMV,平台自披露,实际,较节假日X,5,水平值,2025-05-09,空,携程,,2025-05-06,C,http://www.js.xinhuanet.com/20250506/6b4722da6a444a158e9bbe80cdb6ae0c/c.html,约两成；本年上期(2025五一)；平台自身口径
平台渠道,美团亲子酒店搜索同比,+500,%,%,2025-05-31 至 2025-06-02,3天,3天口径,平台GMV,平台自披露,实际,同比,3,水平值,2025-06-04,空,美团,,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,平台自身口径，非全市场
平台渠道,飞猪主题乐园订单同比,+100,%,%,2025-05-31 至 2025-06-02,3天,3天口径,平台GMV,平台自披露,实际,同比,3,水平值,2025-06-04,空,飞猪,,2025-06,C,https://www.voc.com.cn/news/202506/29613347.html?mobile,平台自身口径，非全市场
总体,2025中秋国庆出游人次预测,1.05,亿人次,人次,2025-10-01 至 2025-10-08,8天,2025年合并口径(预测),客流人次,测算,预计,较节假日X,8,水平值,2025-06-04,预判待回填,AI前瞻(内部测算),,2025-06-04,D,,预测ID=2025十一-F01；中心值1.05亿/区间0.98-1.12亿/置信度中；2025中秋(10/6)并入国庆8天合并口径；待官方回填，非实测
总体,2025中秋国庆出游总花费预测,5100,亿元,亿元,2025-10-01 至 2025-10-08,8天,2025年合并口径(预测),旅游总花费,测算,预计,较节假日X,8,水平值,2025-06-04,预判待回填,AI前瞻(内部测算),,2025-06-04,D,,预测ID=2025十一-F02；中心值5100亿/区间4800-5500亿/置信度中；日均约637亿；待官方回填，非实测
总体,2025暑假出游人次预测,19.5,亿人次,人次,2025-07-01 至 2025-08-31,62天,62天口径(预测),客流人次,测算,预计,较节假日X,62,水平值,2025-06-04,预判待回填,AI前瞻(内部测算),,2025-06-04,D,,预测ID=2025暑假-F01；中心值19.5亿/区间18.5-21.0亿/置信度中；待官方回填，非实测
总体,国内人均旅游消费(测算),366.8,元,人均trip,2024-06-08 至 2024-06-10,3天,2024年3天口径,旅游总花费,测算,推算,无(水平值),3,水平值,2024-06-13,测算待核,测算(总花费/出游人次),,2024-06,D,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,测算=403.5/1.1；去年同期基准(2024端午)
