检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2024 春节 出游,2026-08-28-R1,国内旅游出游人次 = 4.74亿人次,文化和旅游部,文化和旅游部2024年春节假期数据,2024,https://www.mct.gov.cn/whzx/whyw/202402/t20240218_951325.htm,文旅部：春节假期8天国内旅游出游4.74亿人次，同比+34.3%，较2019年+19.0%,snapshots/文化和旅游部_国内旅游出游人次.html,L1,入库L1,R1,否
2024 春节 收入,2026-08-28-R1,国内游客出游总花费 = 6326.87亿元,文化和旅游部,文化和旅游部2024年春节假期数据,2024,https://www.mct.gov.cn/whzx/whyw/202402/t20240218_951325.htm,文旅部：国内游客出游总花费6326.87亿元，同比+47.3%，较2019年+7.7%,snapshots/文化和旅游部_国内游客出游总花费.html,L1,入库L1,R1,否
2024 春节 出入境 文旅,2026-08-28-R1,入出境旅游人数 = 683万人次,文化和旅游部,文化和旅游部2024年春节假期数据,2024,https://www.mct.gov.cn/whzx/whyw/202402/t20240218_951325.htm,文旅部：入出境旅游约683万人次，其中出境游约360万人次,snapshots/文化和旅游部_入出境旅游人数.html,L1,入库L1,R1,否
2024 春节 跨区域,2026-08-28-R1,全社会跨区域人员流动量 = 22.93亿人次,2024综合运输春运工作专班,2024综合运输春运工作专班2024年春节假期数据,2024,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,春运专班：春节假期全社会跨区域人员流动量累计22.93亿人次，铁路9946万,snapshots/2024综合运输春运工作_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2024 春节 铁路,2026-08-28-R1,铁路客运量 = 9946万人次,2024综合运输春运工作专班,2024综合运输春运工作专班2024年春节假期数据,2024,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,春节假期铁路客运量9946万人次，2月17日单日1606.7万人次创春运新高,snapshots/2024综合运输春运工作_铁路客运量.html,L1,入库L1,R1,否
2024 春运 铁路,2026-08-28-R1,铁路春运40天发送旅客 = 4.84亿人次,国铁集团,2024年铁路春运数据,2024,https://m.baike.com/wiki/2024%E5%B9%B4%E6%98%A5%E8%BF%90/7322023199230165032,2024年铁路春运40天累计发送旅客4.84亿人次，日均1208.9万人次，同比+39%,snapshots/国铁集团_铁路春运40天发送旅客.html,L1,入库L1,R1,否
2024 春节 民航,2026-08-28-R1,民航春节假期旅客运输量 = 1794.2万人次,民航局,民航局2024年春节假期数据,2024,https://www.gov.cn/yaowen/liebiao/202402/content_6931787.htm,民航春节假期旅客运输量1794.2万人次，日均224.3万创历史新高,snapshots/民航局_民航春节假期旅客运输量.html,L1,入库L1,R1,否
2024 春节 商务部,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 8.5%,商务部,商务部2024年春节假期数据,2024,https://www.gov.cn/lianbo/bumen/202402/content_6931895.htm,商务部：春节期间全国重点零售和餐饮企业销售额同比+8.5%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2024 春节 票房,2026-08-28-R1,春节档电影票房 = 80.16亿元,国家电影局,2024年春节档票房数据,2024,https://www.gov.cn/yaowen/liebiao/202402/content_6931787.htm,国家电影局：2024春节档总票房80.16亿元，观影人次1.63亿，创影史新纪录,snapshots/国家电影局_春节档电影票房.html,L1,入库L1,R1,否
2024 春节 演出,2026-08-28-R1,全国营业性演出场次 = 1.63万场,文化和旅游部,文化和旅游部2024年春节假期数据,2024,https://news.china.com.cn/2024-02/19/content_117004468.html,春节假期全国营业性演出1.63万场，票房7.78亿元，观众657.65万人次,snapshots/文化和旅游部_全国营业性演出场次.html,L1,入库L1,R1,否
2024 春节 出入境,2026-08-28-R1,出入境人员 = 1351.7万人次,国家移民管理局,国家移民管理局2024年春节假期数据,2024,https://www.nia.gov.cn/n897453/c1631883/content.html,移民局：春节假期查验出入境人员1351.7万人次，日均169万，+2.8倍，恢复至2019年近九成,snapshots/国家移民管理局_出入境人员.html,L1,入库L1,R1,否
2024 春节 广东,2026-08-28-R1,广东接待游客 = 7606.9万人次,广东省文化和旅游厅,广东省文化和旅游厅2024年春节假期数据,2024,http://m.toutiao.com/group/7337575483804385844/,广东春节接待游客7606.9万人次(+68.4%)，旅游收入693.6亿元居全国第一,snapshots/广东省文化和旅游厅_广东接待游客.html,L1,入库L1,R1,否
2024 春节 湖南,2026-08-28-R1,湖南旅游收入 = 651.61亿元,湖南省文化和旅游厅,湖南省文化和旅游厅2024年春节假期数据,2024,https://travel.ifeng.com/c/8XIlnZPISFD,湖南春节旅游收入651.61亿元居全国第二,snapshots/湖南省文化和旅游厅_湖南旅游收入.html,L1,入库L1,R1,否
2024 春节 云南,2026-08-28-R1,云南旅游收入 = 637.4亿元,云南省文化和旅游厅,云南省文化和旅游厅2024年春节假期数据,2024,https://travel.ifeng.com/c/8XIlnZPISFD,云南春节旅游收入637.4亿元居全国第三,snapshots/云南省文化和旅游厅_云南旅游收入.html,L1,入库L1,R1,否
2024 春节 四川,2026-08-28-R1,四川接待游客 = 6047.82万人次,四川省文化和旅游厅,四川省文化和旅游厅2024年春节假期数据,2024,https://www.sc.gov.cn/10462/10464/10797/2024/2/19/71bb96093a0b41c587adca2d5f73d6f7.shtml?version=zzzh,四川春节接待游客6047.82万人次(+9.74%)，旅游消费总额309.93亿元,snapshots/四川省文化和旅游厅_四川接待游客.html,L1,入库L1,R1,否
2024 春节 黑龙江,2026-08-28-R1,黑龙江接待游客 = 2220.7万人次,黑龙江省文化和旅游厅,黑龙江省文化和旅游厅2024年春节假期数据,2024,https://news.inewsweek.cn/qy/2024-02-20/21260.shtml,黑龙江春节接待游客2220.7万人次(+75.9%)，旅游收入271.9亿元(+102.1%),snapshots/黑龙江省文化和旅游厅_黑龙江接待游客.html,L1,入库L1,R1,否
2024 春节 哈尔滨,2026-08-28-R1,哈尔滨接待游客 = 1009.3万人次,哈尔滨市文化广电和旅游局,哈尔滨市文化广电和旅游局2024年春节假期数据,2024,http://hlj.people.com.cn/n2/2024/0221/c220027-40750785.html,哈尔滨春节接待游客1009.3万人次(日均+81.7%)，旅游总收入164.2亿元(+235.4%),snapshots/哈尔滨市文化广电和旅游局_哈尔滨接待游客.html,L1,入库L1,R1,否
2024 春节 四川 景区,2026-08-28-R1,四川A级景区接待游客 = 4488.14万人次,四川省文化和旅游厅,四川省文化和旅游厅2024年春节假期数据,2024,http://sc.news.cn/20240218/994480da563e44dc90b62348f98161f9/c.html,四川833家A级景区春节接待游客4488.14万人次，门票收入4.95亿元,snapshots/四川省文化和旅游厅_四川A级景区接待游客.html,L1,入库L1,R1,否
2024 春节 携程,2026-08-28-R1,携程春节旅游订单增速 = 7倍,携程,携程2024春节旅游市场预测报告,2024,http://wtl.sz.gov.cn/xxgk/qt/lysc/content/post_11103365.html,携程：2024春节旅游订单同比+超7倍，出境游、入境游订单均+10倍以上。平台自身口径,snapshots/携程_携程春节旅游订单增速.html,L1,入库L1,R1,否
